S.No,District,Total Positive Cases as on 07.07.2021,Discharged Cases as on 07.07.2021,Active Cases as on 07.07.2021,Death Cases as on 07.07.2021
1,Ariyalur,15204,14534,450,220
2,Chengalpattu,158380,154290,1718,2372
3,Chennai,534037,524145,1654,8238
4,Coimbatore,223277,217541,3651,2085
5,Cuddalore,58594,56868,950,776
6,Dharmapuri,25124,24103,804,217
7,Dindigul,31804,30838,363,603
8,Erode,91082,86826,3647,609
9,Kallakurichi,27712,26647,868,197
10,Kancheepuram,70683,68960,533,1190
11,Kanniyakumari,59383,57658,727,998
12,Karur,22273,21657,270,346
13,Krishnagiri,40484,39431,744,309
14,Madurai,72805,71037,634,1134
15,Mayiladuthurai,20367,19849,261,257
16,Nagapattinam,18010,17420,313,277
17,Namakkal,45555,44090,1037,428
18,Nilgiris,28986,27961,859,166
19,Perambalur,11220,10821,196,203
20,Pudukkottai,27405,26544,522,339
21,Ramanathapuram,19767,19280,148,339
22,Ranipet,41290,40055,504,731
23,Salem,90036,86458,2085,1493
24,Sivaganga,18065,17385,487,193
25,Tenkasi,26532,25809,252,471
26,Thanjavur,64978,62379,1796,803
27,Theni,42550,41727,320,503
28,Thoothukudi,54515,53711,424,380
29,Tiruchirappalli,70442,67988,1520,934
30,Tirunelveli,47351,46635,302,414
31,Tirupathur,27705,26911,212,582
32,Tiruppur,84457,81911,1765,781
33,Tiruvallur,111714,109096,900,1718
34,Tiruvannamalai,50343,48480,1251,612
35,Tiruvarur,37134,36354,433,347
36,Vellore,47234,45730,441,1063
37,Villupuram,42911,42029,549,333
38,Virudhunagar,44930,43914,483,533
39,Airport Surveillance (International),1006,1002,3,1
40,Airport Surveillance (Domestic),1075,1074,0,1
41,Railway Surveillance,428,428,0,0
Total,Grand Total,2506848,2439576,34076,33196
