S.No,District,Total Positive Cases as on 03.06.2021,Discharged Cases as on 03.06.2021,Active Cases as on 03.06.2021,Death Cases as on 03.06.2021
1,Ariyalur,12075,9680,2262,133
2,Chengalpattu,143730,133191,8566,1973
3,Chennai,511258,475781,28186,7291
4,Coimbatore,179898,140999,37505,1394
5,Cuddalore,50444,43891,6005,548
6,Dharmapuri,19591,16539,2916,136
7,Dindigul,27948,24557,2963,428
8,Erode,61408,44932,16087,389
9,Kallakurichi,22219,17484,4592,143
10,Kancheepuram,64870,59637,4221,1012
11,Kanniyakumari,51223,41625,8833,765
12,Karur,18345,14604,3492,249
13,Krishnagiri,34064,30071,3780,213
14,Madurai,66571,51404,14224,943
15,Nagapattinam,31039,25126,5548,365
16,Namakkal,34816,27023,7512,281
17,Nilgiris,20825,16513,4207,105
18,Perambalur,9136,6490,2576,70
19,Pudukkottai,23772,20556,2999,217
20,Ramanathapuram,17529,13992,3289,248
21,Ranipet,35691,32009,3154,528
22,Salem,69336,58494,9798,1044
23,Sivaganga,15000,12889,1949,162
24,Tenkasi,23378,19295,3723,360
25,Thanjavur,50150,42767,6839,544
26,Theni,37849,32005,5471,373
27,Thoothukudi,49105,41334,7482,289
28,Tiruchirappalli,59869,47816,11428,625
29,Tirunelveli,44305,39697,4249,359
30,Tirupathur,23848,20010,3462,376
31,Tiruppur,64835,45371,18943,521
32,Tiruvallur,103407,95504,6459,1444
33,Tiruvannamalai,42553,35150,6971,432
34,Tiruvarur,31578,25825,5542,211
35,Vellore,43177,39269,3114,794
36,Villupuram,36234,30819,5153,262
37,Virudhunagar,39168,31808,6924,436
38,Airport Surveillance (International),1004,1001,2,1
39,Airport Surveillance (Domestic),1075,1074,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,2172751,1866660,280426,25665
