S.No,District,Total Positive Cases as on 19.05.2021,Discharged Cases as on 19.05.2021,Active Cases as on 19.05.2021,Death Cases as on 19.05.2021
1,Ariyalur,8210,6522,1624,64
2,Chengalpattu,120228,103643,15237,1348
3,Chennai,456496,402139,48326,6031
4,Coimbatore,125151,97040,27189,922
5,Cuddalore,40290,33858,6016,416
6,Dharmapuri,14360,11948,2321,91
7,Dindigul,21970,19062,2631,277
8,Erode,37107,28711,8186,210
9,Kallakurichi,16865,14206,2541,118
10,Kancheepuram,53480,46072,6657,751
11,Kanniyakumari,35614,26503,8603,508
12,Karur,12582,10339,2122,121
13,Krishnagiri,24986,18083,6738,165
14,Madurai,50610,38765,11126,719
15,Nagapattinam,21102,17131,3722,249
16,Namakkal,23200,19835,3195,170
17,Nilgiris,13747,11251,2432,64
18,Perambalur,5264,3442,1780,42
19,Pudukkottai,18283,15650,2453,180
20,Ramanathapuram,13066,10153,2761,152
21,Ranipet,28217,24793,3129,295
22,Salem,53895,48034,5145,716
23,Sivaganga,11842,10164,1533,145
24,Tenkasi,17558,14210,3103,245
25,Thanjavur,36553,31337,4800,416
26,Theni,29318,23852,5190,276
27,Thoothukudi,38656,31973,6483,200
28,Tiruchirappalli,41272,31289,9602,381
29,Tirunelveli,37453,30520,6625,308
30,Tirupathur,16761,12774,3748,239
31,Tiruppur,40610,32237,8088,285
32,Tiruvallur,86333,73862,11390,1081
33,Tiruvannamalai,32282,27325,4594,363
34,Tiruvarur,21967,18196,3615,156
35,Vellore,36654,32415,3695,544
36,Villupuram,27249,23714,3351,184
37,Virudhunagar,27487,23364,3823,300
38,Airport Surveillance (International),1004,1001,2,1
39,Airport Surveillance (Domestic),1075,1074,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,1699225,1426915,253576,18734
