S.No,District,Total Positive Cases as on 29.05.2021,Discharged Cases as on 29.05.2021,Active Cases as on 29.05.2021,Death Cases as on 29.05.2021
1,Ariyalur,10766,8061,2601,104
2,Chengalpattu,138017,123364,12905,1748
3,Chennai,499298,453704,38680,6914
4,Coimbatore,163458,123446,38824,1188
5,Cuddalore,47312,39670,7146,496
6,Dharmapuri,17977,14675,3177,125
7,Dindigul,26331,22532,3414,385
8,Erode,53144,38426,14400,318
9,Kallakurichi,20520,16253,4138,129
10,Kancheepuram,62296,54462,6902,932
11,Kanniyakumari,46996,36485,9827,684
12,Karur,16272,12657,3427,188
13,Krishnagiri,31793,26148,5456,189
14,Madurai,63419,46512,16038,869
15,Nagapattinam,27709,22149,5238,322
16,Namakkal,30423,23908,6281,234
17,Nilgiris,17953,14390,3481,82
18,Perambalur,7931,5031,2845,55
19,Pudukkottai,22195,18003,3993,199
20,Ramanathapuram,16179,12681,3287,211
21,Ranipet,33780,28592,4760,428
22,Salem,63140,54626,7582,932
23,Sivaganga,14018,11844,2015,159
24,Tenkasi,21768,17380,4061,327
25,Thanjavur,45737,37600,7631,506
26,Theni,35379,28501,6539,339
27,Thoothukudi,46486,38394,7825,267
28,Tiruchirappalli,54946,43791,10619,536
29,Tirunelveli,42491,36887,5263,341
30,Tirupathur,21978,17212,4430,336
31,Tiruppur,58054,39980,17628,446
32,Tiruvallur,99560,88716,9499,1345
33,Tiruvannamalai,40282,32043,7833,406
34,Tiruvarur,28652,22604,5860,188
35,Vellore,41366,37135,3527,704
36,Villupuram,33183,28108,4836,239
37,Virudhunagar,36400,27825,8187,388
38,Airport Surveillance (International),1004,1001,2,1
39,Airport Surveillance (Domestic),1075,1074,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,2039716,1706298,310157,23261
