S.No,District,Total Positive Cases as on 24.05.2021,Discharged Cases as on 24.05.2021,Active Cases as on 24.05.2021,Death Cases as on 24.05.2021
1,Ariyalur,9575,7465,2036,74
2,Chengalpattu,130587,112788,16257,1542
3,Chennai,483757,429146,48151,6460
4,Coimbatore,143164,108791,33325,1048
5,Cuddalore,44261,36079,7733,449
6,Dharmapuri,16201,12994,3107,100
7,Dindigul,24200,20709,3166,325
8,Erode,44818,32756,11810,252
9,Kallakurichi,18593,14987,3485,121
10,Kancheepuram,58300,50316,7153,831
11,Kanniyakumari,41835,29978,11252,605
12,Karur,14145,11584,2408,153
13,Krishnagiri,28882,20325,8376,181
14,Madurai,57182,42752,13616,814
15,Nagapattinam,24097,19048,4772,277
16,Namakkal,26378,21882,4303,193
17,Nilgiris,15651,12677,2901,73
18,Perambalur,6505,4021,2434,50
19,Pudukkottai,20367,16632,3543,192
20,Ramanathapuram,14707,11363,3154,190
21,Ranipet,31173,26673,4154,346
22,Salem,57913,51395,5707,811
23,Sivaganga,12880,10998,1729,153
24,Tenkasi,19797,15545,3978,274
25,Thanjavur,41043,33962,6620,461
26,Theni,32541,26265,5973,303
27,Thoothukudi,43154,35118,7802,234
28,Tiruchirappalli,48041,36801,10780,460
29,Tirunelveli,40281,34052,5907,322
30,Tirupathur,19680,14539,4842,299
31,Tiruppur,48697,35647,12711,339
32,Tiruvallur,93674,79846,12630,1198
33,Tiruvannamalai,36611,29386,6842,383
34,Tiruvarur,25299,19773,5356,170
35,Vellore,39126,34213,4271,642
36,Villupuram,29778,25990,3582,206
37,Virudhunagar,31811,25760,5712,339
38,Airport Surveillance (International),1004,1001,2,1
39,Airport Surveillance (Domestic),1075,1074,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,1877211,1554759,301580,20872
