S.No,District,Total Positive Cases as on 27.07.2021,Discharged Cases as on 27.07.2021,Active Cases as on 27.07.2021,Death Cases as on 27.07.2021
1,Ariyalur,15683,15220,229,234
2,Chengalpattu,161507,157988,1120,2399
3,Chennai,537386,527594,1480,8312
4,Coimbatore,228504,224392,1947,2165
5,Cuddalore,60179,58556,819,804
6,Dharmapuri,25986,25391,362,233
7,Dindigul,32129,31287,224,618
8,Erode,93078,91038,1410,630
9,Kallakurichi,28876,28110,569,197
10,Kancheepuram,71536,69885,450,1201
11,Kanniyakumari,59993,58540,435,1018
12,Karur,22579,22046,182,351
13,Krishnagiri,41203,40540,342,321
14,Madurai,73424,71967,314,1143
15,Mayiladuthurai,20937,20356,314,267
16,Nagapattinam,18544,17884,372,288
17,Namakkal,46956,45963,551,442
18,Nilgiris,30354,29515,661,178
19,Perambalur,11445,11070,155,220
20,Pudukkottai,28034,27289,382,363
21,Ramanathapuram,19997,19503,146,348
22,Ranipet,41886,40824,323,739
23,Salem,93042,90102,1400,1540
24,Sivaganga,18696,18115,385,196
25,Tenkasi,26798,26159,160,479
26,Thanjavur,67475,65305,1325,845
27,Theni,42875,42178,183,514
28,Thoothukudi,55013,54349,273,391
29,Tiruchirappalli,72139,70313,868,958
30,Tirunelveli,47807,47060,321,426
31,Tirupathur,28174,27271,303,600
32,Tiruppur,87487,85415,1255,817
33,Tiruvallur,113134,110665,718,1751
34,Tiruvannamalai,51871,50472,763,636
35,Tiruvarur,37691,36990,335,366
36,Vellore,47955,46489,372,1094
37,Villupuram,43720,42893,487,340
38,Virudhunagar,45437,44653,244,540
39,Airport Surveillance (International),1013,1006,6,1
40,Airport Surveillance (Domestic),1078,1074,3,1
41,Railway Surveillance,428,428,0,0
Total,Grand Total,2552049,2495895,22188,33966
