S.No,District,Total Positive Cases as on 06.07.2021,Discharged Cases as on 06.07.2021,Active Cases as on 06.07.2021,Death Cases as on 06.07.2021
1,Ariyalur,15157,14492,447,218
2,Chengalpattu,158109,154019,1720,2370
3,Chennai,533849,523841,1776,8232
4,Coimbatore,222632,217250,3301,2081
5,Cuddalore,58505,56800,931,774
6,Dharmapuri,25051,24005,833,213
7,Dindigul,31779,30806,370,603
8,Erode,91064,86570,3885,609
9,Kallakurichi,27642,26535,911,196
10,Kancheepuram,70632,68879,566,1187
11,Kanniyakumari,59327,57622,708,997
12,Karur,22249,21638,265,346
13,Krishnagiri,40414,39342,764,308
14,Madurai,72746,70954,663,1129
15,Mayiladuthurai,20335,19828,251,256
16,Nagapattinam,17994,17406,312,276
17,Namakkal,45444,43869,1147,428
18,Nilgiris,28876,27849,862,165
19,Perambalur,11197,10790,204,203
20,Pudukkottai,27360,26479,544,337
21,Ramanathapuram,19754,19261,155,338
22,Ranipet,41238,39981,528,729
23,Salem,89747,86290,1966,1491
24,Sivaganga,18022,17324,505,193
25,Tenkasi,26532,25772,290,470
26,Thanjavur,64808,62162,1846,800
27,Theni,42579,41679,402,498
28,Thoothukudi,54533,53697,456,380
29,Tiruchirappalli,70300,67883,1486,931
30,Tirunelveli,47342,46618,312,412
31,Tirupathur,27698,26900,218,580
32,Tiruppur,84171,81653,1737,781
33,Tiruvallur,111622,108994,911,1717
34,Tiruvannamalai,50236,48372,1253,611
35,Tiruvarur,37105,36305,455,345
36,Vellore,47183,45662,460,1061
37,Villupuram,42857,41976,548,333
38,Virudhunagar,44883,43865,486,532
38,Airport Surveillance (International),1006,1002,3,1
39,Airport Surveillance (Domestic),1075,1074,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,2503481,2435872,34477,33132
