S.No,District,Total Positive Cases as on 12.06.2021,Discharged Cases as on 12.06.2021,Active Cases as on 12.06.2021,Death Cases as on 12.06.2021
1,Ariyalur,13528,12256,1102,170
2,Chengalpattu,150657,143929,4531,2197
3,Chennai,524085,506454,9838,7793
4,Coimbatore,201644,181654,18274,1716
5,Cuddalore,54559,49439,4459,661
6,Dharmapuri,22205,19539,2499,167
7,Dindigul,30152,27840,1800,512
8,Erode,74969,62588,11892,489
9,Kallakurichi,24584,20958,3450,176
10,Kancheepuram,67880,64918,1866,1096
11,Kanniyakumari,55971,49437,5637,897
12,Karur,20439,18059,2066,314
13,Krishnagiri,36888,34299,2329,260
14,Madurai,69880,62937,5921,1022
15,Nagapattinam,35368,31139,3782,447
16,Namakkal,39738,34724,4668,346
17,Nilgiris,25136,21304,3700,132
18,Perambalur,10315,9127,1033,155
19,Pudukkottai,25505,23572,1674,259
20,Ramanathapuram,18682,17285,1096,301
21,Ranipet,38384,35852,1934,598
22,Salem,78483,67943,9296,1244
23,Sivaganga,16191,14627,1383,181
24,Tenkasi,25354,23223,1708,423
25,Thanjavur,57220,50526,6076,618
26,Theni,40543,37980,2107,456
27,Thoothukudi,52071,47375,4353,343
28,Tiruchirappalli,64640,57928,5957,755
29,Tirunelveli,46402,43486,2534,382
30,Tirupathur,26093,24062,1581,450
31,Tiruppur,73751,56553,16567,631
32,Tiruvallur,107377,103244,2533,1600
33,Tiruvannamalai,45941,41526,3895,520
34,Tiruvarur,34800,32038,2497,265
35,Vellore,45299,43010,1383,906
36,Villupuram,40038,36121,3608,309
37,Virudhunagar,42426,38897,3042,487
38,Airport Surveillance (International),1004,1001,2,1
39,Airport Surveillance (Domestic),1075,1074,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,2339705,2148352,162073,29280
