S.No,District,Total Positive Cases as on 26.02.2021,Discharged Cases as on 26.02.2021,Active Cases as on 26.02.2021,Death Cases as on 26.02.2021
1,Ariyalur,4736,4670,17,49
2,Chengalpattu,52677,51549,348,780
3,Chennai,235169,229233,1786,4150
4,Coimbatore,55673,54604,386,683
5,Cuddalore,25148,24807,54,287
6,Dharmapuri,6652,6579,18,55
7,Dindigul,11460,11203,57,200
8,Erode,14776,14519,107,150
9,Kallakurichi,10907,10795,4,108
10,Kancheepuram,29508,28997,64,447
11,Kanniyakumari,17070,16753,56,261
12,Karur,5498,5422,26,50
13,Krishnagiri,8158,8010,30,118
14,Madurai,21225,20714,51,460
15,Nagapattinam,8595,8416,46,133
16,Namakkal,11799,11652,36,111
17,Nilgiris,8344,8237,59,48
18,Perambalur,2283,2258,4,21
19,Pudukkottai,11647,11474,16,157
20,Ramanathapuram,6469,6318,14,137
21,Ranipet,16234,16019,26,189
22,Salem,32722,32183,72,467
23,Sivaganga,6774,6608,40,126
24,Tenkasi,8542,8335,48,159
25,Thanjavur,18069,17718,96,255
26,Theni,17153,16937,9,207
27,Thoothukudi,16351,16187,21,143
28,Tiruchirappalli,14961,14732,46,183
29,Tirunelveli,15724,15457,53,214
30,Tirupathur,7632,7498,8,126
31,Tiruppur,18322,17978,120,224
32,Tiruvallur,44163,43310,155,698
33,Tiruvannamalai,19492,19169,39,284
34,Tiruvarur,11342,11189,42,111
35,Vellore,20965,20575,40,350
36,Villupuram,15258,15126,19,113
37,Virudhunagar,16659,16407,20,232
38,Airport Surveillance (International),949,939,9,1
39,Airport Surveillance (Domestic),1043,1038,4,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,850577,834043,4046,12488
