S.No,District,Total Positive Cases as on 05.07.2021,Discharged Cases as on 05.07.2021,Active Cases as on 05.07.2021,Death Cases as on 05.07.2021
1,Ariyalur,15119,14439,464,216
2,Chengalpattu,157847,153802,1677,2368
3,Chennai,533637,523473,1937,8227
4,Coimbatore,222020,216952,2992,2076
5,Cuddalore,58434,56729,934,771
6,Dharmapuri,24972,23891,869,212
7,Dindigul,31767,30778,386,603
8,Erode,90957,86268,4080,609
9,Kallakurichi,27565,26403,966,196
10,Kancheepuram,70584,68792,607,1185
11,Kanniyakumari,59316,57598,723,995
12,Karur,22253,21606,301,346
13,Krishnagiri,40343,39236,799,308
14,Madurai,72681,70863,693,1125
15,Mayiladuthurai,20313,19800,258,255
16,Nagapattinam,17968,17394,299,275
17,Namakkal,45325,43642,1257,426
18,Nilgiris,28771,27756,850,165
19,Perambalur,11183,10753,227,203
20,Pudukkottai,27309,26400,572,337
21,Ramanathapuram,19737,19230,171,336
22,Ranipet,41183,39893,563,727
23,Salem,89442,86171,1784,1487
24,Sivaganga,17975,17257,526,192
25,Tenkasi,26512,25743,301,468
26,Thanjavur,64672,61937,1936,799
27,Theni,42554,41622,438,494
28,Thoothukudi,54522,53684,459,379
29,Tiruchirappalli,70149,67781,1441,927
30,Tirunelveli,47323,46593,318,412
31,Tirupathur,27683,26886,218,579
32,Tiruppur,83886,81448,1665,773
33,Tiruvallur,111531,108873,944,1714
34,Tiruvannamalai,50121,48283,1231,607
35,Tiruvarur,37071,36243,487,341
36,Vellore,47140,45590,491,1059
37,Villupuram,42798,41907,558,333
38,Virudhunagar,44830,43797,501,532
38,Airport Surveillance (International),1006,1002,3,1
39,Airport Surveillance (Domestic),1075,1074,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,2500002,2432017,34926,33059
