S.No,District,Total Positive Cases as on 14.07.2021,Discharged Cases as on 14.07.2021,Active Cases as on 14.07.2021,Death Cases as on 14.07.2021
1,Ariyalur,15422,14815,381,226
2,Chengalpattu,159770,156257,1136,2377
3,Chennai,535588,525687,1629,8272
4,Coimbatore,225889,220144,3629,2116
5,Cuddalore,59180,57469,917,794
6,Dharmapuri,25539,24622,690,227
7,Dindigul,31890,31047,230,613
8,Erode,91472,88215,2641,616
9,Kallakurichi,28231,27269,765,197
10,Kancheepuram,70990,69334,457,1199
11,Kanniyakumari,59546,58000,537,1009
12,Karur,22399,21764,286,349
13,Krishnagiri,40844,39887,644,313
14,Madurai,73087,71404,543,1140
15,Mayiladuthurai,20590,19986,343,261
16,Nagapattinam,18213,17563,367,283
17,Namakkal,46205,44950,821,434
18,Nilgiris,29625,28555,898,172
19,Perambalur,11313,10925,178,210
20,Pudukkottai,27658,26818,491,349
21,Ramanathapuram,19841,19356,145,340
22,Ranipet,41564,40386,446,732
23,Salem,91371,87944,1906,1521
24,Sivaganga,18365,17702,469,194
25,Tenkasi,26641,25988,176,477
26,Thanjavur,66102,63311,1968,823
27,Theni,42698,41862,328,508
28,Thoothukudi,54764,53932,448,384
29,Tiruchirappalli,71215,68924,1349,942
30,Tirunelveli,47481,46836,224,421
31,Tirupathur,27879,27002,291,586
32,Tiruppur,86044,83679,1557,808
33,Tiruvallur,112275,109739,807,1729
34,Tiruvannamalai,50936,49242,1070,624
35,Tiruvarur,37332,36609,363,360
36,Vellore,47506,46012,416,1078
37,Villupuram,43261,42324,603,334
38,Virudhunagar,45165,44181,447,537
39,Airport Surveillance (International),1007,1002,4,1
40,Airport Surveillance (Domestic),1075,1074,0,1
41,Railway Surveillance,428,428,0,0
Total,Grand Total,2526401,2462244,30600,33557
