S.No,District,Total Positive Cases as on 15.06.2021,Discharged Cases as on 15.06.2021,Active Cases as on 15.06.2021,Death Cases as on 15.06.2021
1,Ariyalur,13769,12811,784,174
2,Chengalpattu,152257,146491,3505,2261
3,Chennai,526614,511274,7464,7876
4,Coimbatore,206833,189606,15449,1778
5,Cuddalore,55426,51590,3142,694
6,Dharmapuri,22731,20568,1988,175
7,Dindigul,30578,28744,1304,530
8,Erode,78820,67734,10589,497
9,Kallakurichi,25012,22467,2361,184
10,Kancheepuram,68597,65985,1486,1126
11,Kanniyakumari,57072,51499,4648,925
12,Karur,20790,19227,1242,321
13,Krishnagiri,37622,35292,2066,264
14,Madurai,70503,65888,3572,1043
15,Nagapattinam,36238,32858,2913,467
16,Namakkal,40750,36773,3620,357
17,Nilgiris,26246,22834,3274,138
18,Perambalur,10489,9645,677,167
19,Pudukkottai,25792,24211,1307,274
20,Ramanathapuram,18979,17682,983,314
21,Ranipet,39130,36808,1686,636
22,Salem,80912,72842,6780,1290
23,Sivaganga,16499,15352,961,186
24,Tenkasi,25769,23699,1634,436
25,Thanjavur,58964,53552,4767,645
26,Theni,41061,39006,1584,471
27,Thoothukudi,52846,49865,2627,354
28,Tiruchirappalli,65783,60310,4683,790
29,Tirunelveli,46765,44583,1790,392
30,Tirupathur,26623,24957,1199,467
31,Tiruppur,76101,62717,12738,646
32,Tiruvallur,108369,104673,2067,1629
33,Tiruvannamalai,46753,44088,2127,538
34,Tiruvarur,35404,33240,1880,284
35,Vellore,45768,43822,1021,925
36,Villupuram,40850,37530,3008,312
37,Virudhunagar,43075,40289,2286,500
38,Airport Surveillance (International),1005,1001,3,1
39,Airport Surveillance (Domestic),1075,1074,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,2378298,2223015,125215,30068
