S.No,District,Total Positive Cases as on 23.05.2021,Discharged Cases as on 23.05.2021,Active Cases as on 23.05.2021,Death Cases as on 23.05.2021
1,Ariyalur,9327,7235,2020,72
2,Chengalpattu,128677,111634,15540,1503
3,Chennai,478710,423276,49055,6379
4,Coimbatore,138861,106263,31578,1020
5,Cuddalore,43547,35451,7653,443
6,Dharmapuri,15825,12710,3018,97
7,Dindigul,23769,20335,3114,320
8,Erode,43346,31908,11198,240
9,Kallakurichi,18255,14760,3374,121
10,Kancheepuram,57469,49509,7143,817
11,Kanniyakumari,40752,28830,11339,583
12,Karur,13815,11463,2203,149
13,Krishnagiri,28048,19157,8714,177
14,Madurai,55726,41837,13091,798
15,Nagapattinam,23518,18786,4458,274
16,Namakkal,25637,21499,3950,188
17,Nilgiris,15216,12300,2846,70
18,Perambalur,6370,3825,2496,49
19,Pudukkottai,19973,16426,3358,189
20,Ramanathapuram,14411,10975,3252,184
21,Ranipet,30808,26454,4017,337
22,Salem,57016,50560,5683,773
23,Sivaganga,12665,10913,1605,147
24,Tenkasi,19341,15200,3870,271
25,Thanjavur,40123,33311,6355,457
26,Theni,32000,25987,5711,302
27,Thoothukudi,42292,34798,7267,227
28,Tiruchirappalli,46762,35181,11143,438
29,Tirunelveli,39794,33120,6352,322
30,Tirupathur,19122,14078,4761,283
31,Tiruppur,46927,35089,11504,334
32,Tiruvallur,92536,79228,12126,1182
33,Tiruvannamalai,35485,28882,6221,382
34,Tiruvarur,24587,19633,4786,168
35,Vellore,38712,33768,4311,633
36,Villupuram,29310,25631,3476,203
37,Virudhunagar,31105,25218,5553,334
38,Airport Surveillance (International),1004,1001,2,1
39,Airport Surveillance (Domestic),1075,1074,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,1842344,1527733,294143,20468
