S.No,District,Total Positive Cases as on 22.05.2021,Discharged Cases as on 22.05.2021,Active Cases as on 22.05.2021,Death Cases as on 22.05.2021
1,Ariyalur,9034,7018,1950,66
2,Chengalpattu,126657,110062,15121,1474
3,Chennai,473671,418137,49236,6298
4,Coimbatore,134912,103809,30104,999
5,Cuddalore,42825,34818,7572,435
6,Dharmapuri,15474,12444,2934,96
7,Dindigul,23234,20140,2779,315
8,Erode,42007,31287,10484,236
9,Kallakurichi,17832,14513,3198,121
10,Kancheepuram,56574,48671,7101,802
11,Kanniyakumari,39587,27790,11234,563
12,Karur,13539,11316,2082,141
13,Krishnagiri,27236,18947,8114,175
14,Madurai,54588,40928,12875,785
15,Nagapattinam,23057,18418,4368,271
16,Namakkal,24598,20988,3425,185
17,Nilgiris,14815,11970,2778,67
18,Perambalur,5895,3748,2100,47
19,Pudukkottai,19554,16214,3154,186
20,Ramanathapuram,14154,10790,3185,179
21,Ranipet,30095,26210,3555,330
22,Salem,56042,49683,5601,758
23,Sivaganga,12450,10793,1511,146
24,Tenkasi,19002,15029,3713,260
25,Thanjavur,38944,32748,5758,438
26,Theni,31431,25600,5541,290
27,Thoothukudi,41445,34147,7077,221
28,Tiruchirappalli,45353,33955,10973,425
29,Tirunelveli,39312,32386,6608,318
30,Tirupathur,18455,13914,4269,272
31,Tiruppur,45472,34326,10823,323
32,Tiruvallur,91238,77989,12095,1154
33,Tiruvannamalai,34461,28383,5700,378
34,Tiruvarur,24013,19241,4609,163
35,Vellore,38161,33680,3880,601
36,Villupuram,28806,25293,3312,201
37,Virudhunagar,30431,24649,5457,325
38,Airport Surveillance (International),1004,1001,2,1
39,Airport Surveillance (Domestic),1075,1074,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,1806861,1502537,284278,20046
