S.No,District,Total Positive Cases as on 20.01.2021,Discharged Cases as on 20.01.2021,Active Cases as on 20.01.2021,Death Cases as on 20.01.2021
1,Ariyalur,4666,4610,7,49
2,Chengalpattu,51024,49914,351,759
3,Chennai,229537,223594,1867,4076
4,Coimbatore,53804,52610,530,664
5,Cuddalore,24865,24535,46,284
6,Dharmapuri,6543,6456,33,54
7,Dindigul,11144,10891,55,198
8,Erode,14142,13847,147,148
9,Kallakurichi,10861,10733,20,108
10,Kancheepuram,29101,28536,127,438
11,Kanniyakumari,16685,16327,101,257
12,Karur,5356,5249,57,50
13,Krishnagiri,8018,7845,56,117
14,Madurai,20849,20281,112,456
15,Nagapattinam,8349,8164,53,132
16,Namakkal,11501,11300,91,110
17,Nilgiris,8129,8021,61,47
18,Perambalur,2260,2238,1,21
19,Pudukkottai,11516,11322,38,156
20,Ramanathapuram,6393,6231,25,137
21,Ranipet,16057,15843,28,186
22,Salem,32221,31571,185,465
23,Sivaganga,6620,6461,33,126
24,Tenkasi,8363,8170,35,158
25,Thanjavur,17582,17168,171,243
26,Theni,17032,16774,53,205
27,Thoothukudi,16221,16037,43,141
28,Tiruchirappalli,14539,14251,109,179
29,Tirunelveli,15507,15208,87,212
30,Tirupathur,7543,7388,30,125
31,Tiruppur,17607,17201,186,220
32,Tiruvallur,43312,42411,214,687
33,Tiruvannamalai,19311,18990,38,283
34,Tiruvarur,11101,10937,55,109
35,Vellore,20608,20097,165,346
36,Villupuram,15126,14974,41,111
37,Virudhunagar,16522,16238,53,231
38,Airport Surveillance (International),940,933,6,1
39,Airport Surveillance (Domestic),1032,1027,4,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,832415,814811,5314,12290
