S.No,District,Total Positive Cases as on 15.08.2021,Discharged Cases as on 15.08.2021,Active Cases as on 15.08.2021,Death Cases as on 15.08.2021
1,Ariyalur,16102,15651,209,242
2,Chengalpattu,163727,160097,1215,2415
3,Chennai,541194,530724,2111,8359
4,Coimbatore,232803,228182,2403,2218
5,Cuddalore,61495,59909,764,822
6,Dharmapuri,26504,25987,279,238
7,Dindigul,32358,31608,122,628
8,Erode,96258,93791,1825,642
9,Kallakurichi,29670,29063,408,199
10,Kancheepuram,72279,70677,387,1215
11,Kanniyakumari,60562,59200,336,1026
12,Karur,22904,22348,205,351
13,Krishnagiri,41742,41158,257,327
14,Madurai,73797,72441,208,1148
15,Mayiladuthurai,21447,20903,270,274
16,Nagapattinam,19182,18512,374,296
17,Namakkal,47993,47015,517,461
18,Nilgiris,31233,30561,485,187
19,Perambalur,11604,11293,85,226
20,Pudukkottai,28644,27888,381,375
21,Ramanathapuram,20129,19709,69,351
22,Ranipet,42252,41300,206,746
23,Salem,94817,92258,949,1610
24,Sivaganga,19102,18676,227,199
25,Tenkasi,26951,26388,79,484
26,Thanjavur,69405,67446,1089,870
27,Theni,43080,42447,119,514
28,Thoothukudi,55311,54759,154,398
29,Tiruchirappalli,73489,71764,740,985
30,Tirunelveli,48211,47543,238,430
31,Tirupathur,28447,27690,150,607
32,Tiruppur,89115,87312,913,890
33,Tiruvallur,114759,112055,934,1770
34,Tiruvannamalai,52772,51648,481,643
35,Tiruvarur,38485,37626,477,382
36,Vellore,48462,47016,343,1103
37,Villupuram,44314,43640,330,344
38,Virudhunagar,45655,45000,113,542
39,Airport Surveillance (International),1019,1014,4,1
40,Airport Surveillance (Domestic),1080,1077,2,1
41,Railway Surveillance,428,428,0,0
Total,Grand Total,2588781,2533804,20458,34519
