S.No,District,Total Positive Cases as on 09.08.2021,Discharged Cases as on 09.08.2021,Active Cases as on 09.08.2021,Death Cases as on 09.08.2021
1,Ariyalur,15995,15502,255,238
2,Chengalpattu,163031,159464,1156,2411
3,Chennai,539856,529522,1994,8340
4,Coimbatore,231405,226983,2228,2194
5,Cuddalore,61073,59517,736,820
6,Dharmapuri,26363,25799,327,237
7,Dindigul,32305,31513,166,626
8,Erode,95245,92846,1760,639
9,Kallakurichi,29447,28777,471,199
10,Kancheepuram,72066,70419,435,1212
11,Kanniyakumari,60391,59036,333,1022
12,Karur,22800,22270,179,351
13,Krishnagiri,41590,40937,329,324
14,Madurai,73694,72315,232,1147
15,Mayiladuthurai,21273,20752,250,271
16,Nagapattinam,18997,18273,432,292
17,Namakkal,47687,46637,593,457
18,Nilgiris,30956,30269,501,186
19,Perambalur,11563,11228,110,225
20,Pudukkottai,28459,27751,337,371
21,Ramanathapuram,20101,19641,109,351
22,Ranipet,42119,41166,208,745
23,Salem,94145,91718,836,1591
24,Sivaganga,18980,18545,236,199
25,Tenkasi,26914,26308,122,484
26,Thanjavur,68802,66946,995,861
27,Theni,43016,42378,124,514
28,Thoothukudi,55244,54643,203,398
29,Tiruchirappalli,73065,71338,753,974
30,Tirunelveli,48111,47420,261,430
31,Tirupathur,28387,27595,189,603
32,Tiruppur,88596,86875,852,869
33,Tiruvallur,114280,111577,939,1764
34,Tiruvannamalai,52478,51317,521,640
35,Tiruvarur,38244,37436,433,375
36,Vellore,48287,46891,300,1096
37,Villupuram,44137,43439,357,341
38,Virudhunagar,45609,44913,155,541
39,Airport Surveillance (International),1018,1010,7,1
40,Airport Surveillance (Domestic),1080,1076,3,1
41,Railway Surveillance,428,428,0,0
Total,Grand Total,2577237,2522470,20427,34340
