S.No,District,Total Positive Cases as on 23.01.2021,Discharged Cases as on 23.01.2021,Active Cases as on 23.01.2021,Death Cases as on 23.01.2021
1,Ariyalur,4674,4616,9,49
2,Chengalpattu,51206,50065,379,762
3,Chennai,230026,224192,1749,4085
4,Coimbatore,53966,52802,498,666
5,Cuddalore,24876,24557,35,284
6,Dharmapuri,6563,6474,35,54
7,Dindigul,11181,10918,65,198
8,Erode,14195,13916,131,148
9,Kallakurichi,10869,10742,19,108
10,Kancheepuram,29150,28575,137,438
11,Kanniyakumari,16722,16381,84,257
12,Karur,5370,5271,49,50
13,Krishnagiri,8034,7882,35,117
14,Madurai,20912,20321,135,456
15,Nagapattinam,8386,8192,62,132
16,Namakkal,11528,11335,83,110
17,Nilgiris,8147,8045,55,47
18,Perambalur,2262,2238,3,21
19,Pudukkottai,11523,11339,28,156
20,Ramanathapuram,6401,6244,20,137
21,Ranipet,16076,15852,37,187
22,Salem,32277,31668,144,465
23,Sivaganga,6633,6476,31,126
24,Tenkasi,8389,8184,47,158
25,Thanjavur,17604,17245,115,244
26,Theni,17050,16788,57,205
27,Thoothukudi,16240,16054,45,141
28,Tiruchirappalli,14571,14286,106,179
29,Tirunelveli,15517,15245,59,213
30,Tirupathur,7549,7402,22,125
31,Tiruppur,17698,17313,165,220
32,Tiruvallur,43379,42465,227,687
33,Tiruvannamalai,19328,19011,34,283
34,Tiruvarur,11142,10953,80,109
35,Vellore,20642,20185,110,347
36,Villupuram,15149,14995,42,112
37,Virudhunagar,16535,16258,46,231
38,Airport Surveillance (International),940,935,4,1
39,Airport Surveillance (Domestic),1033,1030,2,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,834171,816878,4984,12309
