S.No,District,Total Positive Cases as on 11.06.2021,Discharged Cases as on 11.06.2021,Active Cases as on 11.06.2021,Death Cases as on 11.06.2021
1,Ariyalur,13430,11978,1283,169
2,Chengalpattu,150061,143311,4566,2184
3,Chennai,523123,504561,10842,7720
4,Coimbatore,199660,179371,18600,1689
5,Cuddalore,54210,48882,4677,651
6,Dharmapuri,21966,19230,2572,164
7,Dindigul,29962,27594,1877,491
8,Erode,73612,60606,12520,486
9,Kallakurichi,24353,20427,3754,172
10,Kancheepuram,67573,64552,1931,1090
11,Kanniyakumari,55527,48598,6040,889
12,Karur,20311,17727,2274,310
13,Krishnagiri,36620,33930,2433,257
14,Madurai,69597,61517,7064,1016
15,Nagapattinam,34951,30448,4069,434
16,Namakkal,39352,33930,5080,342
17,Nilgiris,24721,20789,3804,128
18,Perambalur,10230,8897,1182,151
19,Pudukkottai,25349,23203,1889,257
20,Ramanathapuram,18565,16914,1351,300
21,Ranipet,38146,35543,2015,588
22,Salem,77583,66570,9799,1214
23,Sivaganga,16046,14446,1421,179
24,Tenkasi,25171,22994,1758,419
25,Thanjavur,56588,49905,6069,614
26,Theni,40323,37218,2661,444
27,Thoothukudi,51767,46878,4552,337
28,Tiruchirappalli,64220,56942,6534,744
29,Tirunelveli,46227,43039,2807,381
30,Tirupathur,25910,23724,1743,443
31,Tiruppur,72899,54776,17498,625
32,Tiruvallur,106982,102631,2780,1571
33,Tiruvannamalai,45600,39015,6070,515
34,Tiruvarur,34527,31459,2807,261
35,Vellore,45112,42784,1442,886
36,Villupuram,39665,35544,3817,304
37,Virudhunagar,42151,38453,3219,479
38,Airport Surveillance (International),1004,1001,2,1
39,Airport Surveillance (Domestic),1075,1074,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,2324597,2120889,174802,28906
