S.No,District,Total Positive Cases as on 27.01.2021,Discharged Cases as on 27.01.2021,Active Cases as on 27.01.2021,Death Cases as on 27.01.2021
1,Ariyalur,4681,4618,14,49
2,Chengalpattu,51365,50250,350,765
3,Chennai,230675,224980,1603,4092
4,Coimbatore,54176,53077,429,670
5,Cuddalore,24904,24589,30,285
6,Dharmapuri,6574,6490,30,54
7,Dindigul,11216,10945,73,198
8,Erode,14285,13967,168,150
9,Kallakurichi,10867,10753,6,108
10,Kancheepuram,29211,28629,143,439
11,Kanniyakumari,16780,16420,103,257
12,Karur,5381,5298,33,50
13,Krishnagiri,8052,7899,36,117
14,Madurai,20953,20386,110,457
15,Nagapattinam,8421,8220,69,132
16,Namakkal,11584,11378,96,110
17,Nilgiris,8177,8073,57,47
18,Perambalur,2261,2239,1,21
19,Pudukkottai,11537,11359,22,156
20,Ramanathapuram,6410,6257,16,137
21,Ranipet,16102,15867,48,187
22,Salem,32347,31742,140,465
23,Sivaganga,6652,6497,29,126
24,Tenkasi,8409,8200,51,158
25,Thanjavur,17636,17327,65,244
26,Theni,17063,16813,45,205
27,Thoothukudi,16262,16080,41,141
28,Tiruchirappalli,14628,14341,107,180
29,Tirunelveli,15542,15273,56,213
30,Tirupathur,7562,7418,19,125
31,Tiruppur,17804,17408,175,221
32,Tiruvallur,43473,42560,223,690
33,Tiruvannamalai,19342,19031,28,283
34,Tiruvarur,11172,10984,79,109
35,Vellore,20690,20238,105,347
36,Villupuram,15172,15015,45,112
37,Virudhunagar,16545,16290,24,231
38,Airport Surveillance (International),940,937,2,1
39,Airport Surveillance (Domestic),1036,1030,5,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,836315,819306,4676,12333
