S.No,District,Total Positive Cases as on 13.01.2021,Discharged Cases as on 13.01.2021,Active Cases as on 13.01.2021,Death Cases as on 13.01.2021
1,Ariyalur,4660,4593,18,49
2,Chengalpattu,50710,49570,388,752
3,Chennai,228368,222272,2042,4054
4,Coimbatore,53331,52009,660,662
5,Cuddalore,24819,24445,90,284
6,Dharmapuri,6515,6394,67,54
7,Dindigul,11086,10815,73,198
8,Erode,14030,13697,186,147
9,Kallakurichi,10843,10712,23,108
10,Kancheepuram,29004,28383,185,436
11,Kanniyakumari,16607,16171,179,257
12,Karur,5305,5178,77,50
13,Krishnagiri,7980,7790,73,117
14,Madurai,20761,20151,155,455
15,Nagapattinam,8302,8088,83,131
16,Namakkal,11421,11170,141,110
17,Nilgiris,8078,7951,80,47
18,Perambalur,2259,2237,1,21
19,Pudukkottai,11483,11270,58,155
20,Ramanathapuram,6370,6204,29,137
21,Ranipet,16022,15766,70,186
22,Salem,32065,31279,322,464
23,Sivaganga,6593,6422,45,126
24,Tenkasi,8332,8139,35,158
25,Thanjavur,17440,17042,155,243
26,Theni,16986,16733,48,205
27,Thoothukudi,16184,15973,70,141
28,Tiruchirappalli,14439,14083,177,179
29,Tirunelveli,15438,15129,97,212
30,Tirupathur,7521,7357,39,125
31,Tiruppur,17455,16999,236,220
32,Tiruvallur,43118,42134,302,682
33,Tiruvannamalai,19266,18917,66,283
34,Tiruvarur,11047,10871,67,109
35,Vellore,20494,19961,190,343
36,Villupuram,15087,14932,45,110
37,Virudhunagar,16472,16174,68,230
38,Airport Surveillance (International),938,928,9,1
39,Airport Surveillance (Domestic),1030,1025,4,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,828287,809392,6653,12242
