S.No,District,Total Positive Cases as on 11.07.2021,Discharged Cases as on 11.07.2021,Active Cases as on 11.07.2021,Death Cases as on 11.07.2021
1,Ariyalur,15347,14703,423,221
2,Chengalpattu,159220,155479,1368,2373
3,Chennai,535044,525127,1661,8256
4,Coimbatore,225043,218930,4006,2107
5,Cuddalore,58939,57192,954,793
6,Dharmapuri,25391,24387,780,224
7,Dindigul,31832,30967,258,607
8,Erode,91157,87695,2847,615
9,Kallakurichi,28038,27047,794,197
10,Kancheepuram,70885,69182,509,1194
11,Kanniyakumari,59470,57874,593,1003
12,Karur,22352,21707,298,347
13,Krishnagiri,40710,39682,716,312
14,Madurai,72993,71263,590,1140
15,Mayiladuthurai,20483,19917,308,258
16,Nagapattinam,18131,17508,343,280
17,Namakkal,45976,44711,831,434
18,Nilgiris,29402,28373,858,171
19,Perambalur,11273,10884,181,208
20,Pudukkottai,27547,26691,513,343
21,Ramanathapuram,19797,19326,132,339
22,Ranipet,41464,40257,475,732
23,Salem,90870,87272,2086,1512
24,Sivaganga,18242,17561,488,193
25,Tenkasi,26604,25921,207,476
26,Thanjavur,65564,63013,1739,812
27,Theni,42625,41795,324,506
28,Thoothukudi,54647,53790,475,382
29,Tiruchirappalli,70927,68500,1491,936
30,Tirunelveli,47414,46736,260,418
31,Tirupathur,27799,26959,257,583
32,Tiruppur,85453,83101,1552,800
33,Tiruvallur,112066,109462,881,1723
34,Tiruvannamalai,50710,48874,1215,621
35,Tiruvarur,37260,36484,423,353
36,Vellore,47402,45944,382,1076
37,Villupuram,43119,42204,581,334
38,Virudhunagar,45081,44039,505,537
39,Airport Surveillance (International),1006,1002,3,1
40,Airport Surveillance (Domestic),1075,1074,0,1
41,Railway Surveillance,428,428,0,0
Total,Grand Total,2518786,2453061,32307,33418
