S.No,District,Total Positive Cases as on 10.06.2021,Discharged Cases as on 10.06.2021,Active Cases as on 10.06.2021,Death Cases as on 10.06.2021
1,Ariyalur,13324,11722,1444,158
2,Chengalpattu,149431,142029,5234,2168
3,Chennai,522052,502184,12210,7658
4,Coimbatore,197601,174759,21184,1658
5,Cuddalore,53851,48529,4694,628
6,Dharmapuri,21712,18901,2650,161
7,Dindigul,29757,27342,1930,485
8,Erode,72262,58685,13102,475
9,Kallakurichi,24117,20017,3931,169
10,Kancheepuram,67243,63948,2213,1082
11,Kanniyakumari,55070,47593,6603,874
12,Karur,20149,17332,2513,304
13,Krishnagiri,36342,33526,2560,256
14,Madurai,69320,60457,7854,1009
15,Nagapattinam,34477,29875,4178,424
16,Namakkal,38912,33108,5467,337
17,Nilgiris,24301,20204,3969,128
18,Perambalur,10133,8680,1307,146
19,Pudukkottai,25188,22897,2034,257
20,Ramanathapuram,18439,15724,2421,294
21,Ranipet,37894,35223,2086,585
22,Salem,76656,65288,10168,1200
23,Sivaganga,15929,14231,1520,178
24,Tenkasi,24973,22606,1953,414
25,Thanjavur,55926,48877,6443,606
26,Theni,40111,36694,2986,431
27,Thoothukudi,51428,46316,4783,329
28,Tiruchirappalli,63784,55828,7232,724
29,Tirunelveli,45995,42607,3008,380
30,Tirupathur,25728,23399,1900,429
31,Tiruppur,72037,53940,17485,612
32,Tiruvallur,106593,101942,3095,1556
33,Tiruvannamalai,45301,38583,6216,502
34,Tiruvarur,34255,30722,3278,255
35,Vellore,44905,42472,1556,877
36,Villupuram,39278,34935,4041,302
37,Virudhunagar,41857,37968,3414,475
38,Airport Surveillance (International),1004,1001,2,1
39,Airport Surveillance (Domestic),1075,1074,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,2308838,2091646,188664,28528
