S.No,District,Total Positive Cases as on 30.05.2021,Discharged Cases as on 30.05.2021,Active Cases as on 30.05.2021,Death Cases as on 30.05.2021
1,Ariyalur,11034,8354,2569,111
2,Chengalpattu,139263,125981,11493,1789
3,Chennai,501930,459499,35423,7008
4,Coimbatore,167003,126721,39047,1235
5,Cuddalore,48038,40513,7016,509
6,Dharmapuri,18288,15061,3100,127
7,Dindigul,26666,22794,3480,392
8,Erode,54914,39367,15207,340
9,Kallakurichi,20829,16412,4287,130
10,Kancheepuram,62912,55350,6614,948
11,Kanniyakumari,47910,37216,9991,703
12,Karur,16732,12996,3539,197
13,Krishnagiri,32282,26879,5208,195
14,Madurai,64207,47504,15815,888
15,Nagapattinam,28376,22819,5231,326
16,Namakkal,31304,24511,6553,240
17,Nilgiris,18491,14777,3626,88
18,Perambalur,8206,5457,2694,55
19,Pudukkottai,22521,18241,4076,204
20,Ramanathapuram,16498,12941,3335,222
21,Ranipet,34132,28730,4962,440
22,Salem,64454,55408,8096,950
23,Sivaganga,14236,12100,1977,159
24,Tenkasi,22168,17850,3989,329
25,Thanjavur,46524,38684,7330,510
26,Theni,35893,29190,6355,348
27,Thoothukudi,47162,38919,7969,274
28,Tiruchirappalli,56090,44723,10816,551
29,Tirunelveli,42920,37802,4776,342
30,Tirupathur,22414,17877,4189,348
31,Tiruppur,59563,41065,18035,463
32,Tiruvallur,100475,90421,8691,1363
33,Tiruvannamalai,40836,32671,7754,411
34,Tiruvarur,29236,23336,5709,191
35,Vellore,41760,37534,3501,725
36,Villupuram,33802,28700,4856,246
37,Virudhunagar,37004,28374,8235,395
38,Airport Surveillance (International),1004,1001,2,1
39,Airport Surveillance (Domestic),1075,1074,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,2068580,1739280,305546,23754
