S.No,District,Total Positive Cases as on 25.07.2021,Discharged Cases as on 25.07.2021,Active Cases as on 25.07.2021,Death Cases as on 25.07.2021
1,Ariyalur,15640,15163,245,232
2,Chengalpattu,161323,157732,1196,2395
3,Chennai,537124,527263,1551,8310
4,Coimbatore,228169,223878,2133,2158
5,Cuddalore,60034,58383,848,803
6,Dharmapuri,25921,25321,368,232
7,Dindigul,32099,31240,241,618
8,Erode,92833,90619,1586,628
9,Kallakurichi,28798,28005,596,197
10,Kancheepuram,71457,69807,449,1201
11,Kanniyakumari,59946,58472,458,1016
12,Karur,22553,22022,180,351
13,Krishnagiri,41144,40472,351,321
14,Madurai,73377,71923,312,1142
15,Mayiladuthurai,20881,20307,307,267
16,Nagapattinam,18501,17832,381,288
17,Namakkal,46854,45812,602,440
18,Nilgiris,30246,29351,718,177
19,Perambalur,11433,11049,167,217
20,Pudukkottai,27974,27236,376,362
21,Ramanathapuram,19977,19485,144,348
22,Ranipet,41836,40766,331,739
23,Salem,92840,89797,1506,1537
24,Sivaganga,18645,18073,377,195
25,Tenkasi,26751,26128,144,479
26,Thanjavur,67277,65039,1398,840
27,Theni,42853,42139,200,514
28,Thoothukudi,54980,54288,303,389
29,Tiruchirappalli,72014,70134,924,956
30,Tirunelveli,47750,47028,298,424
31,Tirupathur,28126,27213,315,598
32,Tiruppur,87305,85099,1391,815
33,Tiruvallur,113002,110542,712,1748
34,Tiruvannamalai,51741,50327,779,635
35,Tiruvarur,37640,36939,337,364
36,Vellore,47895,46418,383,1094
37,Villupuram,43638,42813,485,340
38,Virudhunagar,45401,44600,262,539
39,Airport Surveillance (International),1013,1005,7,1
40,Airport Surveillance (Domestic),1078,1074,3,1
41,Railway Surveillance,428,428,0,0
Total,Grand Total,2548497,2491222,23364,33911
