S.No,District,Total Positive Cases as on 17.08.2021,Discharged Cases as on 17.08.2021,Active Cases as on 17.08.2021,Death Cases as on 17.08.2021
1,Ariyalur,16138,15687,208,243
2,Chengalpattu,163945,160395,1130,2420
3,Chennai,541616,531173,2076,8367
4,Coimbatore,233228,228626,2380,2222
5,Cuddalore,61614,60072,717,825
6,Dharmapuri,26540,26034,267,239
7,Dindigul,32372,31631,111,630
8,Erode,96592,94086,1864,642
9,Kallakurichi,29733,29145,389,199
10,Kancheepuram,72342,70747,377,1218
11,Kanniyakumari,60627,59252,348,1027
12,Karur,22931,22380,200,351
13,Krishnagiri,41795,41214,254,327
14,Madurai,73820,72478,194,1148
15,Mayiladuthurai,21517,20957,286,274
16,Nagapattinam,19240,18579,363,298
17,Namakkal,48105,47131,513,461
18,Nilgiris,31307,30647,471,189
19,Perambalur,11617,11313,78,226
20,Pudukkottai,28724,27933,415,376
21,Ramanathapuram,20138,19724,62,352
22,Ranipet,42297,41338,212,747
23,Salem,95065,92422,1030,1613
24,Sivaganga,19140,18720,221,199
25,Tenkasi,26965,26408,73,484
26,Thanjavur,69643,67666,1104,873
27,Theni,43096,42471,110,515
28,Thoothukudi,55327,54791,138,398
29,Tiruchirappalli,73607,71916,702,989
30,Tirunelveli,48248,47584,234,430
31,Tirupathur,28449,27724,117,608
32,Tiruppur,89268,87481,891,896
33,Tiruvallur,114891,112213,906,1772
34,Tiruvannamalai,52861,51730,487,644
35,Tiruvarur,38556,37684,488,384
36,Vellore,48511,47048,359,1104
37,Villupuram,44376,43697,334,345
38,Virudhunagar,45667,45016,109,542
39,Airport Surveillance (International),1020,1014,5,1
40,Airport Surveillance (Domestic),1080,1077,2,1
41,Railway Surveillance,428,428,0,0
Total,Grand Total,2592436,2537632,20225,34579
