S.No,District,Total Positive Cases as on 25.06.2021,Discharged Cases as on 25.06.2021,Active Cases as on 25.06.2021,Death Cases as on 25.06.2021
1,Ariyalur,14555,13746,609,200
2,Chengalpattu,155696,151023,2337,2336
3,Chennai,531127,519373,3611,8143
4,Coimbatore,216506,207791,6721,1994
5,Cuddalore,57371,55124,1501,746
6,Dharmapuri,23956,22941,817,198
7,Dindigul,31380,30477,329,574
8,Erode,87110,81849,4695,566
9,Kallakurichi,26474,25036,1247,191
10,Kancheepuram,69799,68222,411,1166
11,Kanniyakumari,58527,57109,453,965
12,Karur,21820,20684,800,336
13,Krishnagiri,39320,37879,1147,294
14,Madurai,71894,70197,619,1078
15,Nagapattinam,37651,36394,748,509
16,Namakkal,43739,41180,2154,405
17,Nilgiris,27858,26921,782,155
18,Perambalur,10942,10502,246,194
19,Pudukkottai,26604,25730,565,309
20,Ramanathapuram,19514,18795,389,330
21,Ranipet,40533,39126,715,692
22,Salem,86120,81832,2856,1432
23,Sivaganga,17350,16450,712,188
24,Tenkasi,26388,25580,350,458
25,Thanjavur,62443,59443,2302,698
26,Theni,42060,40864,713,483
27,Thoothukudi,53999,53037,589,373
28,Tiruchirappalli,68302,66316,1104,882
29,Tirunelveli,47137,46267,463,407
30,Tirupathur,27392,26262,569,561
31,Tiruppur,80789,77918,2135,736
32,Tiruvallur,110374,107830,856,1688
33,Tiruvannamalai,48576,46746,1244,586
34,Tiruvarur,36506,35488,702,316
35,Vellore,46663,45254,395,1014
36,Villupuram,42133,41162,645,326
37,Virudhunagar,44216,42912,784,520
38,Airport Surveillance (International),1005,1001,3,1
39,Airport Surveillance (Domestic),1075,1074,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,2455332,2375963,47318,32051
