S.No,District,Total Positive Cases as on 18.05.2021,Discharged Cases as on 18.05.2021,Active Cases as on 18.05.2021,Death Cases as on 18.05.2021
1,Ariyalur,7951,6378,1511,62
2,Chengalpattu,117898,101427,15171,1300
3,Chennai,450267,395873,48455,5939
4,Coimbatore,121884,95028,25951,905
5,Cuddalore,39434,33550,5481,403
6,Dharmapuri,14025,11648,2287,90
7,Dindigul,21574,18699,2600,275
8,Erode,35760,27907,7652,201
9,Kallakurichi,16500,14015,2367,118
10,Kancheepuram,52653,45305,6605,743
11,Kanniyakumari,34729,25996,8248,485
12,Karur,12202,10105,1981,116
13,Krishnagiri,24267,17754,6352,161
14,Madurai,49452,38630,10117,705
15,Nagapattinam,20505,16783,3481,241
16,Namakkal,22787,19473,3147,167
17,Nilgiris,13427,11081,2282,64
18,Perambalur,5045,3327,1676,42
19,Pudukkottai,17862,15444,2242,176
20,Ramanathapuram,12691,9956,2584,151
21,Ranipet,27877,24591,2998,288
22,Salem,53099,47484,4914,701
23,Sivaganga,11627,9966,1516,145
24,Tenkasi,17131,14085,2802,244
25,Thanjavur,35733,30688,4634,411
26,Theni,28517,23466,4776,275
27,Thoothukudi,37726,31209,6318,199
28,Tiruchirappalli,39803,30893,8542,368
29,Tirunelveli,36786,30052,6434,300
30,Tirupathur,16238,12471,3537,230
31,Tiruppur,39037,31662,7092,283
32,Tiruvallur,84641,72562,11017,1062
33,Tiruvannamalai,31680,27045,4276,359
34,Tiruvarur,21252,17888,3209,155
35,Vellore,36049,32046,3471,532
36,Villupuram,26700,23136,3386,178
37,Virudhunagar,27034,22926,3815,293
38,Airport Surveillance (International),1004,1001,2,1
39,Airport Surveillance (Domestic),1075,1074,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,1664350,1403052,242929,18369
