S.No,District,Total Positive Cases as on 29.06.2021,Discharged Cases as on 29.06.2021,Active Cases as on 29.06.2021,Death Cases as on 29.06.2021
1,Ariyalur,14806,14043,557,206
2,Chengalpattu,156677,152134,2191,2352
3,Chennai,532272,520793,3307,8172
4,Coimbatore,218990,212285,4676,2029
5,Cuddalore,57842,56042,1042,758
6,Dharmapuri,24388,23390,793,205
7,Dindigul,31561,30666,307,588
8,Erode,89212,84461,4163,588
9,Kallakurichi,26949,25771,984,194
10,Kancheepuram,70164,68394,597,1173
11,Kanniyakumari,58886,57419,485,982
12,Karur,21997,21062,593,342
13,Krishnagiri,39761,38414,1045,302
14,Madurai,72211,70479,627,1105
15,Mayiladuthurai,20133,19582,301,250
16,Nagapattinam,17805,17252,287,266
17,Namakkal,44499,42354,1727,418
18,Nilgiris,28266,27448,654,164
19,Perambalur,11034,10573,264,197
20,Pudukkottai,26900,26003,576,321
21,Ramanathapuram,19605,19017,258,330
22,Ranipet,40848,39484,647,717
23,Salem,87569,84085,2021,1463
24,Sivaganga,17624,16816,619,189
25,Tenkasi,26399,25666,269,464
26,Thanjavur,63378,60681,1992,705
27,Theni,42274,41309,474,491
28,Thoothukudi,54256,53560,319,377
29,Tiruchirappalli,69039,67104,1033,902
30,Tirunelveli,47165,46396,359,410
31,Tirupathur,27527,26546,410,571
32,Tiruppur,82103,79631,1722,750
33,Tiruvallur,110920,108364,853,1703
34,Tiruvannamalai,49140,47543,1001,596
35,Tiruvarur,36743,35805,613,325
36,Vellore,46876,45343,491,1042
37,Villupuram,42399,41609,460,330
38,Virudhunagar,44464,43321,616,527
39,Airport Surveillance (International),1005,1002,2,1
40,Airport Surveillance (Domestic),1075,1074,0,1
41,Railway Surveillance,428,428,0,0
Total,Grand Total,2475190,2403349,39335,32506
