S.No,District,Total Positive Cases as on 14.08.2021,Discharged Cases as on 14.08.2021,Active Cases as on 14.08.2021,Death Cases as on 14.08.2021
1,Ariyalur,16087,15633,212,242
2,Chengalpattu,163608,160001,1193,2414
3,Chennai,540971,530503,2112,8356
4,Coimbatore,232575,227978,2380,2217
5,Cuddalore,61434,59828,784,822
6,Dharmapuri,26486,25959,289,238
7,Dindigul,32350,31592,130,628
8,Erode,96087,93645,1800,642
9,Kallakurichi,29632,29012,421,199
10,Kancheepuram,72248,70629,404,1215
11,Kanniyakumari,60534,59174,334,1026
12,Karur,22885,22334,200,351
13,Krishnagiri,41713,41127,259,327
14,Madurai,73786,72416,222,1148
15,Mayiladuthurai,21399,20874,251,274
16,Nagapattinam,19161,18480,385,296
17,Namakkal,47938,46941,536,461
18,Nilgiris,31189,30520,482,187
19,Perambalur,11597,11285,86,226
20,Pudukkottai,28618,27875,368,375
21,Ramanathapuram,20124,19703,70,351
22,Ranipet,42229,41283,200,746
23,Salem,94688,92161,922,1605
24,Sivaganga,19077,18660,218,199
25,Tenkasi,26944,26377,83,484
26,Thanjavur,69299,67352,1078,869
27,Theni,43070,42437,119,514
28,Thoothukudi,55306,54744,164,398
29,Tiruchirappalli,73428,71686,759,983
30,Tirunelveli,48194,47524,240,430
31,Tirupathur,28442,27676,159,607
32,Tiruppur,89029,87224,920,885
33,Tiruvallur,114684,111987,928,1769
34,Tiruvannamalai,52724,51611,470,643
35,Tiruvarur,38449,37605,463,381
36,Vellore,48447,47004,342,1101
37,Villupuram,44280,43613,324,343
38,Virudhunagar,45646,44993,111,542
39,Airport Surveillance (International),1019,1012,6,1
40,Airport Surveillance (Domestic),1080,1076,3,1
41,Railway Surveillance,428,428,0,0
Total,Grand Total,2586885,2531962,20427,34496
