S.No,District,Total Positive Cases as on 29.07.2021,Discharged Cases as on 29.07.2021,Active Cases as on 29.07.2021,Death Cases as on 29.07.2021
1,Ariyalur,15729,15272,222,235
2,Chengalpattu,161736,158211,1125,2400
3,Chennai,537732,527908,1508,8316
4,Coimbatore,228874,224797,1905,2172
5,Cuddalore,60309,58724,776,809
6,Dharmapuri,26048,25471,342,235
7,Dindigul,32160,31335,206,619
8,Erode,93369,91368,1368,633
9,Kallakurichi,28969,28236,535,198
10,Kancheepuram,71619,69970,447,1202
11,Kanniyakumari,60032,58610,403,1019
12,Karur,22618,22082,185,351
13,Krishnagiri,41275,40615,338,322
14,Madurai,73461,72017,301,1143
15,Mayiladuthurai,20988,20405,315,268
16,Nagapattinam,18601,17938,374,289
17,Namakkal,47065,46075,546,444
18,Nilgiris,30438,29695,564,179
19,Perambalur,11460,11097,142,221
20,Pudukkottai,28091,27349,378,364
21,Ramanathapuram,20012,19525,139,348
22,Ranipet,41926,40895,291,740
23,Salem,93236,90419,1270,1547
24,Sivaganga,18747,18174,377,196
25,Tenkasi,26828,26195,153,480
26,Thanjavur,67639,65589,1204,846
27,Theni,42900,42213,173,514
28,Thoothukudi,55046,54396,257,393
29,Tiruchirappalli,72262,70500,800,962
30,Tirunelveli,47853,47092,334,427
31,Tirupathur,28213,27329,284,600
32,Tiruppur,87650,85706,1123,821
33,Tiruvallur,113268,110805,712,1751
34,Tiruvannamalai,51974,50608,729,637
35,Tiruvarur,37742,37050,326,366
36,Vellore,48015,46559,362,1094
37,Villupuram,43794,42995,459,340
38,Virudhunagar,45466,44701,225,540
39,Airport Surveillance (International),1013,1006,6,1
40,Airport Surveillance (Domestic),1078,1074,3,1
41,Railway Surveillance,428,428,0,0
Total,Grand Total,2555664,2500434,21207,34023
