S.No,District,Total Positive Cases as on 04.08.2021,Discharged Cases as on 04.08.2021,Active Cases as on 04.08.2021,Death Cases as on 04.08.2021
1,Ariyalur,15858,15391,231,236
2,Chengalpattu,162449,158849,1191,2409
3,Chennai,538908,528745,1840,8323
4,Coimbatore,230241,225971,2085,2185
5,Cuddalore,60714,59180,719,815
6,Dharmapuri,26214,25636,343,235
7,Dindigul,32251,31452,174,625
8,Erode,94364,92103,1625,636
9,Kallakurichi,29245,28579,468,198
10,Kancheepuram,71878,70226,446,1206
11,Kanniyakumari,60211,58872,318,1021
12,Karur,22713,22192,170,351
13,Krishnagiri,41474,40830,322,322
14,Madurai,73588,72189,254,1145
15,Mayiladuthurai,21139,20614,255,270
16,Nagapattinam,18798,18114,393,291
17,Namakkal,47421,46405,563,453
18,Nilgiris,30708,30024,503,181
19,Perambalur,11515,11192,99,224
20,Pudukkottai,28252,27568,316,368
21,Ramanathapuram,20075,19596,129,350
22,Ranipet,42028,41060,225,743
23,Salem,93727,91204,955,1568
24,Sivaganga,18880,18424,257,199
25,Tenkasi,26885,26259,143,483
26,Thanjavur,68320,66437,1032,851
27,Theni,42970,42315,141,514
28,Thoothukudi,55157,54551,208,398
29,Tiruchirappalli,72717,71038,711,968
30,Tirunelveli,47982,47270,283,429
31,Tirupathur,28327,27496,230,601
32,Tiruppur,88161,86441,873,847
33,Tiruvallur,113808,111236,810,1762
34,Tiruvannamalai,52214,51034,542,638
35,Tiruvarur,38005,37240,391,374
36,Vellore,48159,46746,318,1095
37,Villupuram,43967,43263,363,341
38,Virudhunagar,45554,44831,183,540
39,Airport Surveillance (International),1018,1010,7,1
40,Airport Surveillance (Domestic),1078,1076,1,1
41,Railway Surveillance,428,428,0,0
Total,Grand Total,2567401,2513087,20117,34197
