S.No,District,Total Positive Cases as on 13.06.2021,Discharged Cases as on 13.06.2021,Active Cases as on 13.06.2021,Death Cases as on 13.06.2021
1,Ariyalur,13619,12420,1029,170
2,Chengalpattu,151228,144811,4205,2212
3,Chennai,525009,508043,9140,7826
4,Coimbatore,203540,184188,17617,1735
5,Cuddalore,54877,50160,4051,666
6,Dharmapuri,22419,19859,2388,172
7,Dindigul,30313,28149,1639,525
8,Erode,76260,64397,11371,492
9,Kallakurichi,24751,21594,2975,182
10,Kancheepuram,68174,65318,1746,1110
11,Kanniyakumari,56375,50264,5206,905
12,Karur,20535,18461,1758,316
13,Krishnagiri,37162,34552,2349,261
14,Madurai,70097,63710,5358,1029
15,Nagapattinam,35695,31737,3504,454
16,Namakkal,40127,35458,4317,352
17,Nilgiris,25558,21821,3602,135
18,Perambalur,10381,9337,886,158
19,Pudukkottai,25621,23832,1523,266
20,Ramanathapuram,18800,17402,1090,308
21,Ranipet,38567,36137,1813,617
22,Salem,79352,69343,8754,1255
23,Sivaganga,16329,14972,1176,181
24,Tenkasi,25516,23439,1645,432
25,Thanjavur,57834,51837,5375,622
26,Theni,40740,38488,1794,458
27,Thoothukudi,52365,48398,3619,348
28,Tiruchirappalli,65052,58803,5483,766
29,Tirunelveli,46538,43661,2489,388
30,Tirupathur,26254,24401,1397,456
31,Tiruppur,74582,58123,15825,634
32,Tiruvallur,107734,103758,2366,1610
33,Tiruvannamalai,46249,43302,2422,525
34,Tiruvarur,35040,32464,2302,274
35,Vellore,45486,43257,1323,906
36,Villupuram,40341,36645,3388,308
37,Virudhunagar,42693,39203,2999,491
38,Airport Surveillance (International),1005,1001,3,1
39,Airport Surveillance (Domestic),1075,1074,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,2353721,2174247,149927,29547
