S.No,District,Total Positive Cases as on 27.05.2021,Discharged Cases as on 27.05.2021,Active Cases as on 27.05.2021,Death Cases as on 27.05.2021
1,Ariyalur,10283,7797,2393,93
2,Chengalpattu,135289,118762,14858,1669
3,Chennai,493881,443534,43624,6723
4,Coimbatore,155820,117197,37488,1135
5,Cuddalore,46137,38083,7582,472
6,Dharmapuri,17265,13981,3172,112
7,Dindigul,25576,21789,3427,360
8,Erode,49685,35879,13516,290
9,Kallakurichi,19833,15712,3993,128
10,Kancheepuram,60789,52908,6990,891
11,Kanniyakumari,45069,33893,10536,640
12,Karur,15233,12177,2884,172
13,Krishnagiri,30810,23840,6783,187
14,Madurai,61478,44831,15801,846
15,Nagapattinam,26299,20890,5103,306
16,Namakkal,28681,23118,5354,209
17,Nilgiris,16985,13709,3198,78
18,Perambalur,7305,4516,2737,52
19,Pudukkottai,21424,17499,3732,193
20,Ramanathapuram,15581,12254,3123,204
21,Ranipet,32718,27818,4510,390
22,Salem,60689,53458,6338,893
23,Sivaganga,13599,11428,2015,156
24,Tenkasi,20995,16552,4139,304
25,Thanjavur,44093,36131,7469,493
26,Theni,34211,27177,6705,329
27,Thoothukudi,45035,36944,7838,253
28,Tiruchirappalli,52563,41013,11043,507
29,Tirunelveli,41670,35894,5442,334
30,Tirupathur,21012,16307,4381,324
31,Tiruppur,54524,38059,16052,413
32,Tiruvallur,97566,84668,11608,1290
33,Tiruvannamalai,39026,30979,7651,396
34,Tiruvarur,27495,21444,5868,183
35,Vellore,40488,35916,3907,665
36,Villupuram,31954,27541,4187,226
37,Virudhunagar,35053,27083,7599,371
38,Airport Surveillance (International),1004,1001,2,1
39,Airport Surveillance (Domestic),1075,1074,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,1978621,1643284,313048,22289
