S.No,District,Total Positive Cases as on 24.01.2021,Discharged Cases as on 24.01.2021,Active Cases as on 24.01.2021,Death Cases as on 24.01.2021
1,Ariyalur,4675,4617,9,49
2,Chengalpattu,51257,50102,392,763
3,Chennai,230195,224417,1693,4085
4,Coimbatore,54021,52875,478,668
5,Cuddalore,24881,24565,32,284
6,Dharmapuri,6565,6478,33,54
7,Dindigul,11185,10920,67,198
8,Erode,14224,13929,147,148
9,Kallakurichi,10867,10746,13,108
10,Kancheepuram,29162,28588,135,439
11,Kanniyakumari,16740,16389,94,257
12,Karur,5373,5279,44,50
13,Krishnagiri,8039,7890,32,117
14,Madurai,20923,20337,129,457
15,Nagapattinam,8394,8198,64,132
16,Namakkal,11541,11347,84,110
17,Nilgiris,8156,8054,55,47
18,Perambalur,2261,2238,2,21
19,Pudukkottai,11526,11342,28,156
20,Ramanathapuram,6402,6247,18,137
21,Ranipet,16085,15855,43,187
22,Salem,32296,31691,140,465
23,Sivaganga,6638,6482,30,126
24,Tenkasi,8391,8189,44,158
25,Thanjavur,17617,17263,110,244
26,Theni,17052,16796,51,205
27,Thoothukudi,16249,16064,44,141
28,Tiruchirappalli,14588,14302,107,179
29,Tirunelveli,15523,15251,59,213
30,Tirupathur,7553,7409,19,125
31,Tiruppur,17734,17337,176,221
32,Tiruvallur,43399,42491,220,688
33,Tiruvannamalai,19330,19014,33,283
34,Tiruvarur,11146,10959,78,109
35,Vellore,20659,20198,114,347
36,Villupuram,15152,15001,39,112
37,Virudhunagar,16540,16265,44,231
38,Airport Surveillance (International),940,937,2,1
39,Airport Surveillance (Domestic),1033,1030,2,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,834740,817520,4904,12316
