S.No,District,Total Positive Cases as on 16.06.2021,Discharged Cases as on 16.06.2021,Active Cases as on 16.06.2021,Death Cases as on 16.06.2021
1,Ariyalur,13852,12976,697,179
2,Chengalpattu,152722,147278,3169,2275
3,Chennai,527283,512832,6531,7920
4,Coimbatore,208253,192051,14396,1806
5,Cuddalore,55674,51937,3038,699
6,Dharmapuri,22911,20872,1862,177
7,Dindigul,30695,28975,1178,542
8,Erode,79938,69467,9962,509
9,Kallakurichi,25165,22794,2186,185
10,Kancheepuram,68772,66275,1368,1129
11,Kanniyakumari,57324,51903,4491,930
12,Karur,20902,19325,1254,323
13,Krishnagiri,37827,35512,2046,269
14,Madurai,70685,66512,3125,1048
15,Nagapattinam,36447,33330,2641,476
16,Namakkal,41068,37381,3324,363
17,Nilgiris,26488,23332,3016,140
18,Perambalur,10536,9754,611,171
19,Pudukkottai,25864,24411,1175,278
20,Ramanathapuram,19055,17842,898,315
21,Ranipet,39348,37144,1564,640
22,Salem,81608,74298,6003,1307
23,Sivaganga,16603,15440,977,186
24,Tenkasi,25871,23910,1520,441
25,Thanjavur,59370,54121,4596,653
26,Theni,41216,39169,1575,472
27,Thoothukudi,53015,50223,2434,358
28,Tiruchirappalli,66102,60959,4348,795
29,Tirunelveli,46866,44999,1473,394
30,Tirupathur,26747,25383,875,489
31,Tiruppur,76702,64685,11361,656
32,Tiruvallur,108650,105091,1925,1634
33,Tiruvannamalai,46951,44747,1664,540
34,Tiruvarur,35558,33563,1708,287
35,Vellore,45899,44328,639,932
36,Villupuram,41034,37920,2799,315
37,Virudhunagar,43237,40831,1903,503
38,Airport Surveillance (International),1005,1001,3,1
39,Airport Surveillance (Domestic),1075,1074,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,2388746,2244073,114335,30338
