S.No,District,Total Positive Cases as on 09.07.2021,Discharged Cases as on 09.07.2021,Active Cases as on 09.07.2021,Death Cases as on 09.07.2021
1,Ariyalur,15282,14618,443,221
2,Chengalpattu,158729,154890,1467,2372
3,Chennai,534557,524659,1646,8252
4,Coimbatore,224376,218158,4121,2097
5,Cuddalore,58763,57015,967,781
6,Dharmapuri,25267,24244,803,220
7,Dindigul,31822,30917,299,606
8,Erode,91168,87314,3242,612
9,Kallakurichi,27879,26842,840,197
10,Kancheepuram,70779,69067,520,1192
11,Kanniyakumari,59447,57765,681,1001
12,Karur,22305,21684,275,346
13,Krishnagiri,40603,39556,736,311
14,Madurai,72897,71172,585,1140
15,Mayiladuthurai,20430,19883,290,257
16,Nagapattinam,18037,17467,293,277
17,Namakkal,45788,44460,899,429
18,Nilgiris,29215,28201,845,169
19,Perambalur,11240,10862,172,206
20,Pudukkottai,27460,26635,484,341
21,Ramanathapuram,19785,19303,143,339
22,Ranipet,41381,40178,470,733
23,Salem,90502,86828,2175,1499
24,Sivaganga,18156,17479,484,193
25,Tenkasi,26567,25871,220,476
26,Thanjavur,65197,62749,1640,808
27,Theni,42575,41770,299,506
28,Thoothukudi,54559,53745,432,382
29,Tiruchirappalli,70702,68222,1544,936
30,Tirunelveli,47378,46678,283,417
31,Tirupathur,27756,26935,238,583
32,Tiruppur,84975,82527,1656,792
33,Tiruvallur,111895,109276,898,1721
34,Tiruvannamalai,50547,48683,1246,618
35,Tiruvarur,37218,36428,441,349
36,Vellore,47326,45855,401,1070
37,Villupuram,43013,42135,544,334
38,Virudhunagar,45013,43977,499,537
39,Airport Surveillance (International),1006,1002,3,1
40,Airport Surveillance (Domestic),1075,1074,0,1
41,Railway Surveillance,428,428,0,0
Total,Grand Total,2513098,2446552,33224,33322
