S.No,District,Total Positive Cases as on 23.06.2021,Discharged Cases as on 23.06.2021,Active Cases as on 23.06.2021,Death Cases as on 23.06.2021
1,Ariyalur,14432,13669,567,196
2,Chengalpattu,154994,150643,2025,2326
3,Chennai,530432,518870,3447,8115
4,Coimbatore,215051,205441,7654,1956
5,Cuddalore,57078,54685,1654,739
6,Dharmapuri,23743,22598,951,194
7,Dindigul,31276,30285,420,571
8,Erode,85872,79990,5318,564
9,Kallakurichi,26248,24732,1326,190
10,Kancheepuram,69630,68082,390,1158
11,Kanniyakumari,58307,56369,980,958
12,Karur,21669,20537,798,334
13,Krishnagiri,39036,37468,1278,290
14,Madurai,71684,69957,652,1075
15,Nagapattinam,37446,36001,944,501
16,Namakkal,43265,40630,2242,393
17,Nilgiris,27588,26259,1175,154
18,Perambalur,10869,10420,258,191
19,Pudukkottai,26453,25533,617,303
20,Ramanathapuram,19442,18638,475,329
21,Ranipet,40344,38873,800,671
22,Salem,85299,80465,3418,1416
23,Sivaganga,17176,16274,717,185
24,Tenkasi,26370,25415,501,454
25,Thanjavur,61859,58636,2531,692
26,Theni,41927,40557,894,476
27,Thoothukudi,53847,52504,975,368
28,Tiruchirappalli,67855,65753,1234,868
29,Tirunelveli,47193,46194,593,406
30,Tirupathur,27305,26160,595,550
31,Tiruppur,80039,76918,2401,720
32,Tiruvallur,110056,107482,900,1674
33,Tiruvannamalai,48251,46280,1394,577
34,Tiruvarur,36353,35265,775,313
35,Vellore,46523,45194,338,991
36,Villupuram,41946,40760,860,326
37,Virudhunagar,44049,42745,784,520
38,Airport Surveillance (International),1005,1001,3,1
39,Airport Surveillance (Domestic),1075,1074,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,2443415,2358785,52884,31746
