S.No,District,Total Positive Cases as on 10.01.2021,Discharged Cases as on 10.01.2021,Active Cases as on 10.01.2021,Death Cases as on 10.01.2021
1,Ariyalur,4656,4589,18,49
2,Chengalpattu,50557,49389,418,750
3,Chennai,227800,221573,2182,4045
4,Coimbatore,53129,51764,704,661
5,Cuddalore,24799,24417,99,283
6,Dharmapuri,6500,6378,68,54
7,Dindigul,11062,10778,86,198
8,Erode,13968,13597,225,146
9,Kallakurichi,10836,10702,26,108
10,Kancheepuram,28946,28285,226,435
11,Kanniyakumari,16558,16115,186,257
12,Karur,5282,5148,84,50
13,Krishnagiri,7951,7771,63,117
14,Madurai,20717,20097,165,455
15,Nagapattinam,8280,8031,118,131
16,Namakkal,11376,11124,142,110
17,Nilgiris,8046,7913,86,47
18,Perambalur,2259,2236,2,21
19,Pudukkottai,11467,11253,59,155
20,Ramanathapuram,6358,6192,30,136
21,Ranipet,16007,15737,84,186
22,Salem,31970,31185,321,464
23,Sivaganga,6579,6414,39,126
24,Tenkasi,8323,8118,47,158
25,Thanjavur,17371,16989,140,242
26,Theni,16970,16705,60,205
27,Thoothukudi,16167,15946,80,141
28,Tiruchirappalli,14382,14032,172,178
29,Tirunelveli,15406,15094,100,212
30,Tirupathur,7508,7331,52,125
31,Tiruppur,17382,16910,252,220
32,Tiruvallur,43020,42006,333,681
33,Tiruvannamalai,19246,18889,74,283
34,Tiruvarur,11031,10841,81,109
35,Vellore,20430,19910,177,343
36,Villupuram,15079,14910,59,110
37,Virudhunagar,16452,16128,95,229
38,Airport Surveillance (International),936,926,9,1
39,Airport Surveillance (Domestic),1027,1024,2,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,826261,806875,7164,12222
