S.No,District,Total Positive Cases as on 26.01.2021,Discharged Cases as on 26.01.2021,Active Cases as on 26.01.2021,Death Cases as on 26.01.2021
1,Ariyalur,4677,4618,10,49
2,Chengalpattu,51336,50192,380,764
3,Chennai,230522,224818,1616,4088
4,Coimbatore,54125,53012,443,670
5,Cuddalore,24897,24582,30,285
6,Dharmapuri,6569,6487,28,54
7,Dindigul,11206,10937,71,198
8,Erode,14266,13952,166,148
9,Kallakurichi,10866,10751,7,108
10,Kancheepuram,29190,28614,137,439
11,Kanniyakumari,16773,16414,102,257
12,Karur,5377,5295,32,50
13,Krishnagiri,8048,7896,35,117
14,Madurai,20941,20369,115,457
15,Nagapattinam,8414,8211,71,132
16,Namakkal,11570,11372,88,110
17,Nilgiris,8172,8070,55,47
18,Perambalur,2261,2239,1,21
19,Pudukkottai,11536,11352,28,156
20,Ramanathapuram,6407,6252,18,137
21,Ranipet,16097,15864,46,187
22,Salem,32333,31727,141,465
23,Sivaganga,6647,6491,30,126
24,Tenkasi,8402,8196,48,158
25,Thanjavur,17633,17313,76,244
26,Theni,17060,16807,48,205
27,Thoothukudi,16258,16074,43,141
28,Tiruchirappalli,14613,14330,103,180
29,Tirunelveli,15535,15262,60,213
30,Tirupathur,7561,7416,20,125
31,Tiruppur,17781,17385,175,221
32,Tiruvallur,43444,42535,220,689
33,Tiruvannamalai,19337,19023,31,283
34,Tiruvarur,11164,10972,83,109
35,Vellore,20674,20229,98,347
36,Villupuram,15165,15008,45,112
37,Virudhunagar,16544,16282,31,231
38,Airport Surveillance (International),940,937,2,1
39,Airport Surveillance (Domestic),1034,1030,3,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,835803,818742,4736,12325
