S.No,District,Total Positive Cases as on 04.07.2021,Discharged Cases as on 04.07.2021,Active Cases as on 04.07.2021,Death Cases as on 04.07.2021
1,Ariyalur,15070,14398,456,216
2,Chengalpattu,157655,153629,1660,2366
3,Chennai,533432,523042,2168,8222
4,Coimbatore,221415,216495,2851,2069
5,Cuddalore,58372,56664,938,770
6,Dharmapuri,24886,23782,895,209
7,Dindigul,31751,30767,382,602
8,Erode,90815,85981,4227,607
9,Kallakurichi,27479,26286,998,195
10,Kancheepuram,70531,68700,647,1184
11,Kanniyakumari,59250,57585,670,995
12,Karur,22216,21554,318,344
13,Krishnagiri,40260,39108,844,308
14,Madurai,72610,70765,725,1120
15,Mayiladuthurai,20284,19761,268,255
16,Nagapattinam,17933,17370,290,273
17,Namakkal,45187,43423,1341,423
18,Nilgiris,28678,27687,827,164
19,Perambalur,11164,10705,257,202
20,Pudukkottai,27250,26314,603,333
21,Ramanathapuram,19716,19182,198,336
22,Ranipet,41130,39809,596,725
23,Salem,89121,86025,1609,1487
24,Sivaganga,17925,17183,549,193
25,Tenkasi,26500,25730,302,468
26,Thanjavur,64471,61698,1978,795
27,Theni,42514,41573,447,494
28,Thoothukudi,54514,53673,462,379
29,Tiruchirappalli,69998,67685,1389,924
30,Tirunelveli,47318,46570,336,412
31,Tirupathur,27663,26861,223,579
32,Tiruppur,83579,81214,1592,773
33,Tiruvallur,111441,108779,948,1714
34,Tiruvannamalai,49990,48179,1207,604
35,Tiruvarur,37049,36189,521,339
36,Vellore,47092,45526,506,1060
37,Villupuram,42738,41866,540,332
38,Virudhunagar,44781,43726,523,532
39,Airport Surveillance (International),1006,1002,3,1
40,Airport Surveillance (Domestic),1075,1074,0,1
41,Railway Surveillance,428,428,0,0
Total,Grand Total,2496287,2427988,35294,33005
