S.No,District,Total Positive Cases as on 28.06.2021,Discharged Cases as on 28.06.2021,Active Cases as on 28.06.2021,Death Cases as on 28.06.2021
1,Ariyalur,14747,13950,592,205
2,Chengalpattu,156447,151788,2313,2346
3,Chennai,532006,520379,3462,8165
4,Coimbatore,218426,211299,5110,2017
5,Cuddalore,57726,55866,1103,757
6,Dharmapuri,24281,23306,771,204
7,Dindigul,31524,30633,308,583
8,Erode,88723,83915,4223,585
9,Kallakurichi,26851,25634,1025,192
10,Kancheepuram,70087,68353,563,1171
11,Kanniyakumari,58794,57357,460,977
12,Karur,21961,20946,673,342
13,Krishnagiri,39668,38306,1062,300
14,Madurai,72144,70421,630,1093
15,Nagapattinam,37866,36753,600,513
16,Namakkal,44327,42108,1805,414
17,Nilgiris,28191,27362,665,164
18,Perambalur,11014,10556,263,195
19,Pudukkottai,26826,25945,564,317
20,Ramanathapuram,19588,18988,270,330
21,Ranipet,40780,39411,659,710
22,Salem,87261,83577,2230,1454
23,Sivaganga,17566,16749,628,189
24,Tenkasi,26363,25647,252,464
25,Thanjavur,63166,60416,2045,705
26,Theni,42227,41225,514,488
27,Thoothukudi,54194,53507,312,375
28,Tiruchirappalli,68871,66961,1010,900
29,Tirunelveli,47123,46368,346,409
30,Tirupathur,27498,26452,475,571
31,Tiruppur,81821,79235,1839,747
32,Tiruvallur,110809,108253,854,1702
33,Tiruvannamalai,49013,47386,1035,592
34,Tiruvarur,36694,35726,645,323
35,Vellore,46826,45317,474,1035
36,Villupuram,42346,41537,480,329
37,Virudhunagar,44415,43200,692,523
38,Airport Surveillance (International),1005,1002,2,1
39,Airport Surveillance (Domestic),1075,1074,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,2470678,2397336,40954,32388
