S.No,District,Total Positive Cases as on 30.06.2021,Discharged Cases as on 30.06.2021,Active Cases as on 30.06.2021,Death Cases as on 30.06.2021
1,Ariyalur,14861,14130,520,211
2,Chengalpattu,156884,152485,2041,2358
3,Chennai,532529,521221,3121,8187
4,Coimbatore,219504,213227,4236,2041
5,Cuddalore,57944,56200,982,762
6,Dharmapuri,24502,23466,828,208
7,Dindigul,31615,30693,330,592
8,Erode,89632,84950,4093,589
9,Kallakurichi,27064,25892,978,194
10,Kancheepuram,70232,68428,628,1176
11,Kanniyakumari,58969,57467,515,987
12,Karur,22029,21185,502,342
13,Krishnagiri,39870,38532,1035,303
14,Madurai,72279,70535,636,1108
15,Mayiladuthurai,20177,19635,290,252
16,Nagapattinam,17850,17273,311,266
17,Namakkal,44657,42552,1687,418
18,Nilgiris,28353,27514,675,164
19,Perambalur,11056,10594,264,198
20,Pudukkottai,26966,26055,590,321
21,Ramanathapuram,19619,19049,237,333
22,Ranipet,40912,39537,655,720
23,Salem,87864,84551,1841,1472
24,Sivaganga,17689,16878,622,189
25,Tenkasi,26427,25681,282,464
26,Thanjavur,63575,60906,1961,708
27,Theni,42319,41385,441,493
28,Thoothukudi,54331,53598,355,378
29,Tiruchirappalli,69244,67225,1109,910
30,Tirunelveli,47207,46427,370,410
31,Tirupathur,27558,26644,342,572
32,Tiruppur,82373,79952,1664,757
33,Tiruvallur,111025,108469,851,1705
34,Tiruvannamalai,49339,47689,1053,597
35,Tiruvarur,36814,35890,597,327
36,Vellore,46919,45365,507,1047
37,Villupuram,42464,41673,461,330
38,Virudhunagar,44536,43429,579,528
38,Airport Surveillance (International),1005,1002,2,1
39,Airport Surveillance (Domestic),1075,1074,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,2479696,2408886,38191,32619
