S.No,District,Total Positive Cases as on 08.07.2021,Discharged Cases as on 08.07.2021,Active Cases as on 08.07.2021,Death Cases as on 08.07.2021
1,Ariyalur,15247,14572,455,220
2,Chengalpattu,158570,154602,1595,2373
3,Chennai,534310,524408,1657,8245
4,Coimbatore,223861,217812,3957,2092
5,Cuddalore,58669,56944,946,779
6,Dharmapuri,25199,24181,799,219
7,Dindigul,31821,30882,334,605
8,Erode,91108,87067,3430,611
9,Kallakurichi,27799,26750,852,197
10,Kancheepuram,70732,69018,524,1190
11,Kanniyakumari,59427,57707,720,1000
12,Karur,22291,21669,276,346
13,Krishnagiri,40546,39502,734,310
14,Madurai,72852,71111,603,1138
15,Mayiladuthurai,20399,19867,275,257
16,Nagapattinam,18015,17446,292,277
17,Namakkal,45658,44277,953,428
18,Nilgiris,29112,28087,858,167
19,Perambalur,11223,10845,174,204
20,Pudukkottai,27434,26597,497,340
21,Ramanathapuram,19777,19291,147,339
22,Ranipet,41337,40122,483,732
23,Salem,90306,86641,2172,1493
24,Sivaganga,18104,17438,473,193
25,Tenkasi,26559,25843,242,474
26,Thanjavur,65121,62575,1742,804
27,Theni,42548,41754,291,503
28,Thoothukudi,54526,53730,416,380
29,Tiruchirappalli,70575,68096,1544,935
30,Tirunelveli,47364,46659,288,417
31,Tirupathur,27732,26924,226,582
32,Tiruppur,84703,82208,1711,784
33,Tiruvallur,111803,109194,890,1719
34,Tiruvannamalai,50440,48591,1234,615
35,Tiruvarur,37178,36394,436,348
36,Vellore,47279,45794,419,1066
37,Villupuram,42951,42088,529,334
38,Virudhunagar,44974,43951,488,535
39,Airport Surveillance (International),1006,1002,3,1
40,Airport Surveillance (Domestic),1075,1074,0,1
41,Railway Surveillance,428,428,0,0
Total,Grand Total,2510059,2443141,33665,33253
