S.No,District,Total Positive Cases as on 19.07.2021,Discharged Cases as on 19.07.2021,Active Cases as on 19.07.2021,Death Cases as on 19.07.2021
1,Ariyalur,15538,14989,319,230
2,Chengalpattu,160607,156987,1234,2386
3,Chennai,536351,526369,1683,8299
4,Coimbatore,227079,222167,2777,2135
5,Cuddalore,59590,57881,907,802
6,Dharmapuri,25714,24961,523,230
7,Dindigul,31982,31153,212,617
8,Erode,92063,89342,2102,619
9,Kallakurichi,28543,27626,720,197
10,Kancheepuram,71208,69556,451,1201
11,Kanniyakumari,59744,58231,501,1012
12,Karur,22483,21889,244,350
13,Krishnagiri,41000,40190,492,318
14,Madurai,73224,71707,377,1140
15,Mayiladuthurai,20717,20141,311,265
16,Nagapattinam,18358,17660,411,287
17,Namakkal,46530,45275,818,437
18,Nilgiris,29916,28848,896,172
19,Perambalur,11382,10983,184,215
20,Pudukkottai,27799,27034,411,354
21,Ramanathapuram,19911,19415,152,344
22,Ranipet,41678,40577,364,737
23,Salem,92142,88909,1705,1528
24,Sivaganga,18515,17934,387,194
25,Tenkasi,26696,26048,171,477
26,Thanjavur,66714,64196,1684,834
27,Theni,42780,42001,268,511
28,Thoothukudi,54873,54146,341,386
29,Tiruchirappalli,71614,69522,1143,949
30,Tirunelveli,47573,46950,199,424
31,Tirupathur,27970,27080,296,594
32,Tiruppur,86709,84281,1614,814
33,Tiruvallur,112629,110110,778,1741
34,Tiruvannamalai,51354,49799,927,628
35,Tiruvarur,37483,36760,360,363
36,Vellore,47681,46149,445,1087
37,Villupuram,43418,42574,508,336
38,Virudhunagar,45294,44395,362,537
39,Airport Surveillance (International),1008,1002,5,1
40,Airport Surveillance (Domestic),1075,1074,0,1
41,Railway Surveillance,428,428,0,0
Total,Grand Total,2537373,2476339,27282,33752
