S.No,District,Total Positive Cases as on 15.07.2021,Discharged Cases as on 15.07.2021,Active Cases as on 15.07.2021,Death Cases as on 15.07.2021
1,Ariyalur,15452,14852,372,228
2,Chengalpattu,159947,156451,1116,2380
3,Chennai,535747,525835,1633,8279
4,Coimbatore,226151,220576,3453,2122
5,Cuddalore,59266,57560,913,793
6,Dharmapuri,25580,24705,646,229
7,Dindigul,31912,31068,230,614
8,Erode,91618,88434,2568,616
9,Kallakurichi,28303,27347,759,197
10,Kancheepuram,71035,69380,455,1200
11,Kanniyakumari,59584,58048,525,1011
12,Karur,22415,21790,276,349
13,Krishnagiri,40884,39958,612,314
14,Madurai,73121,71457,524,1140
15,Mayiladuthurai,20618,20018,338,262
16,Nagapattinam,18241,17579,378,284
17,Namakkal,46277,45016,827,434
18,Nilgiris,29692,28607,913,172
19,Perambalur,11337,10937,187,213
20,Pudukkottai,27684,26865,470,349
21,Ramanathapuram,19856,19364,151,341
22,Ranipet,41591,40430,429,732
23,Salem,91527,88180,1823,1524
24,Sivaganga,18395,17753,448,194
25,Tenkasi,26652,26000,175,477
26,Thanjavur,66267,63432,2010,825
27,Theni,42722,41891,323,508
28,Thoothukudi,54795,53994,417,384
29,Tiruchirappalli,71303,69066,1293,944
30,Tirunelveli,47501,46867,213,421
31,Tirupathur,27899,27017,293,589
32,Tiruppur,86184,83813,1561,810
33,Tiruvallur,112332,109821,780,1731
34,Tiruvannamalai,51009,49368,1015,626
35,Tiruvarur,37354,36637,355,362
36,Vellore,47546,46033,435,1078
37,Villupuram,43301,42372,594,335
38,Virudhunagar,45198,44225,436,537
39,Airport Surveillance (International),1007,1002,4,1
40,Airport Surveillance (Domestic),1075,1074,0,1
41,Railway Surveillance,428,428,0,0
Total,Grand Total,2528806,2465250,29950,33606
