S.No,District,Total Positive Cases as on 21.06.2021,Discharged Cases as on 21.06.2021,Active Cases as on 21.06.2021,Death Cases as on 21.06.2021
1,Ariyalur,14292,13515,588,189
2,Chengalpattu,154428,150202,1909,2317
3,Chennai,529650,520236,1343,8071
4,Coimbatore,213384,201907,9566,1911
5,Cuddalore,56728,54171,1831,726
6,Dharmapuri,23539,22197,1151,191
7,Dindigul,31144,30010,570,564
8,Erode,84453,76828,7070,555
9,Kallakurichi,25990,24514,1288,188
10,Kancheepuram,69434,67840,441,1153
11,Kanniyakumari,58077,55253,1873,951
12,Karur,21488,20385,771,332
13,Krishnagiri,38726,36954,1485,287
14,Madurai,71443,69617,753,1073
15,Nagapattinam,37214,35484,1243,487
16,Namakkal,42728,40039,2306,383
17,Nilgiris,27324,25540,1634,150
18,Perambalur,10791,10301,307,183
19,Pudukkottai,26278,25305,680,293
20,Ramanathapuram,19358,18451,581,326
21,Ranipet,40119,38416,1039,664
22,Salem,84326,78905,4036,1385
23,Sivaganga,16996,16088,723,185
24,Tenkasi,26279,25100,725,454
25,Thanjavur,61165,57589,2891,685
26,Theni,41783,40276,1032,475
27,Thoothukudi,53663,51948,1348,367
28,Tiruchirappalli,67390,64891,1641,858
29,Tirunelveli,47116,45963,750,403
30,Tirupathur,27187,26023,628,536
31,Tiruppur,79182,75142,3341,699
32,Tiruvallur,109688,107038,991,1659
33,Tiruvannamalai,47894,45791,1538,565
34,Tiruvarur,36176,34933,936,307
35,Vellore,46377,45139,263,975
36,Villupuram,41747,40228,1195,324
37,Virudhunagar,43859,42487,859,513
38,Airport Surveillance (International),1005,1001,3,1
39,Airport Surveillance (Domestic),1075,1074,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,2429924,2337209,61329,31386
