S.No,District,Total Positive Cases as on 20.06.2021,Discharged Cases as on 20.06.2021,Active Cases as on 20.06.2021,Death Cases as on 20.06.2021
1,Ariyalur,14209,13460,562,187
2,Chengalpattu,154118,149996,1815,2307
3,Chennai,529211,519849,1316,8046
4,Coimbatore,212493,199803,10802,1888
5,Cuddalore,56539,53913,1907,719
6,Dharmapuri,23423,21916,1318,189
7,Dindigul,31066,29834,668,564
8,Erode,83658,74786,8326,546
9,Kallakurichi,25843,24367,1288,188
10,Kancheepuram,69331,67552,630,1149
11,Kanniyakumari,57944,54376,2619,949
12,Karur,21387,20269,787,331
13,Krishnagiri,38559,36696,1579,284
14,Madurai,71299,69408,823,1068
15,Nagapattinam,37094,35160,1451,483
16,Namakkal,42414,39663,2372,379
17,Nilgiris,27158,25098,1914,146
18,Perambalur,10754,10217,356,181
19,Pudukkottai,26192,25131,774,287
20,Ramanathapuram,19309,18358,626,325
21,Ranipet,39987,38231,1099,657
22,Salem,83815,78047,4392,1376
23,Sivaganga,16922,15917,820,185
24,Tenkasi,26228,24952,822,454
25,Thanjavur,60777,57019,3081,677
26,Theni,41706,40078,1154,474
27,Thoothukudi,53564,51507,1691,366
28,Tiruchirappalli,67139,64007,2286,846
29,Tirunelveli,47071,45859,809,403
30,Tirupathur,27116,25966,619,531
31,Tiruppur,78724,73567,4461,696
32,Tiruvallur,109491,106789,1049,1653
33,Tiruvannamalai,47700,45695,1445,560
34,Tiruvarur,36073,34695,1073,305
35,Vellore,46290,45099,229,962
36,Villupuram,41632,39922,1387,323
37,Virudhunagar,43753,42223,1019,511
38,Airport Surveillance (International),1005,1001,3,1
39,Airport Surveillance (Domestic),1075,1074,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,2422497,2321928,69372,31197
