S.No,District,Total Positive Cases as on 31.05.2021,Discharged Cases as on 31.05.2021,Active Cases as on 31.05.2021,Death Cases as on 31.05.2021
1,Ariyalur,11303,8580,2612,111
2,Chengalpattu,140526,128649,10041,1836
3,Chennai,504502,463489,33922,7091
4,Coimbatore,170497,130029,39194,1274
5,Cuddalore,48725,41525,6686,514
6,Dharmapuri,18627,15419,3079,129
7,Dindigul,26984,23015,3572,397
8,Erode,56644,40408,15888,348
9,Kallakurichi,21200,16623,4444,133
10,Kancheepuram,63402,56582,5851,969
11,Kanniyakumari,48815,37784,10303,728
12,Karur,17197,13484,3504,209
13,Krishnagiri,32740,27511,5029,200
14,Madurai,64895,48402,15591,902
15,Nagapattinam,29095,23296,5463,336
16,Namakkal,32298,25048,7002,248
17,Nilgiris,19078,15009,3976,93
18,Perambalur,8430,5660,2713,57
19,Pudukkottai,22856,18821,3828,207
20,Ramanathapuram,16783,13255,3305,223
21,Ranipet,34541,29457,4615,469
22,Salem,65614,56260,8385,969
23,Sivaganga,14394,12252,1981,161
24,Tenkasi,22472,18323,3814,335
25,Thanjavur,47305,39771,7022,512
26,Theni,36410,29831,6228,351
27,Thoothukudi,47761,39380,8100,281
28,Tiruchirappalli,57215,45797,10837,581
29,Tirunelveli,43296,38351,4601,344
30,Tirupathur,22800,18464,3982,354
31,Tiruppur,60947,42177,18295,475
32,Tiruvallur,101316,91698,8237,1381
33,Tiruvannamalai,41330,33319,7596,415
34,Tiruvarur,29804,23908,5700,196
35,Vellore,42168,38329,3097,742
36,Villupuram,34443,29196,4998,249
37,Virudhunagar,37596,28898,8288,410
38,Airport Surveillance (International),1004,1001,2,1
39,Airport Surveillance (Domestic),1075,1074,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,2096516,1770503,301781,24232
