S.No,District,Total Positive Cases as on 09.06.2021,Discharged Cases as on 09.06.2021,Active Cases as on 09.06.2021,Death Cases as on 09.06.2021
1,Ariyalur,13215,11440,1618,157
2,Chengalpattu,148732,140998,5588,2146
3,Chennai,520877,498586,14678,7613
4,Coimbatore,195362,169702,24022,1638
5,Cuddalore,53456,48010,4831,615
6,Dharmapuri,21420,18575,2686,159
7,Dindigul,29520,26991,2047,482
8,Erode,70888,56695,13724,469
9,Kallakurichi,23841,19654,4026,161
10,Kancheepuram,66898,63493,2328,1077
11,Kanniyakumari,54601,46775,6961,865
12,Karur,19967,17133,2543,291
13,Krishnagiri,36041,32854,2941,246
14,Madurai,69049,59280,8766,1003
15,Nagapattinam,33972,29190,4365,417
16,Namakkal,38467,32215,5916,336
17,Nilgiris,23859,19625,4109,125
18,Perambalur,10018,8432,1447,139
19,Pudukkottai,24998,22597,2150,251
20,Ramanathapuram,18316,15494,2535,287
21,Ranipet,37626,34797,2253,576
22,Salem,75701,64147,10377,1177
23,Sivaganga,15825,14083,1566,176
24,Tenkasi,24738,21891,2441,406
25,Thanjavur,55268,47868,6810,590
26,Theni,39854,35939,3503,412
27,Thoothukudi,51083,45663,5096,324
28,Tiruchirappalli,63338,54719,7903,716
29,Tirunelveli,45726,42330,3020,376
30,Tirupathur,25521,22925,2186,410
31,Tiruppur,71129,52170,18359,600
32,Tiruvallur,106138,101220,3366,1552
33,Tiruvannamalai,44989,38119,6382,488
34,Tiruvarur,33962,30021,3686,255
35,Vellore,44691,42089,1740,862
36,Villupuram,38872,34338,4236,298
37,Virudhunagar,41560,37036,4051,473
38,Airport Surveillance (International),1004,1001,2,1
39,Airport Surveillance (Domestic),1075,1074,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,2292025,2059597,204258,28170
