S.No,District,Total Positive Cases as on 02.06.2021,Discharged Cases as on 02.06.2021,Active Cases as on 02.06.2021,Death Cases as on 02.06.2021
1,Ariyalur,11806,9361,2320,125
2,Chengalpattu,142715,131409,9382,1924
3,Chennai,509234,472186,29826,7222
4,Coimbatore,176910,136453,39112,1345
5,Cuddalore,49870,43352,5977,541
6,Dharmapuri,19290,16154,3005,131
7,Dindigul,27630,24060,3150,420
8,Erode,59768,43367,16020,381
9,Kallakurichi,21904,17153,4609,142
10,Kancheepuram,64396,58517,4876,1003
11,Kanniyakumari,50486,40533,9194,759
12,Karur,18015,14150,3626,239
13,Krishnagiri,33648,29188,4252,208
14,Madurai,66056,50621,14504,931
15,Nagapattinam,30431,24420,5653,358
16,Namakkal,34005,26283,7451,271
17,Nilgiris,20241,16073,4068,100
18,Perambalur,8905,6362,2480,63
19,Pudukkottai,23448,19790,3448,210
20,Ramanathapuram,17290,13762,3291,237
21,Ranipet,35356,31373,3467,516
22,Salem,68066,57807,9248,1011
23,Sivaganga,14838,12685,1992,161
24,Tenkasi,23074,19020,3703,351
25,Thanjavur,49125,41709,6882,534
26,Theni,37369,31477,5530,362
27,Thoothukudi,48760,40670,7804,286
28,Tiruchirappalli,59073,47157,11302,614
29,Tirunelveli,44009,39291,4365,353
30,Tirupathur,23522,19569,3581,372
31,Tiruppur,63552,44302,18743,507
32,Tiruvallur,102709,94028,7254,1427
33,Tiruvannamalai,42112,34568,7116,428
34,Tiruvarur,30956,25196,5557,203
35,Vellore,42907,38965,3165,777
36,Villupuram,35647,30160,5228,259
37,Virudhunagar,38716,30765,7519,432
38,Airport Surveillance (International),1004,1001,2,1
39,Airport Surveillance (Domestic),1075,1074,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,2148346,1834439,288702,25205
