S.No,District,Total Positive Cases as on 01.07.2021,Discharged Cases as on 01.07.2021,Active Cases as on 01.07.2021,Death Cases as on 01.07.2021
1,Ariyalur,14906,14221,472,213
2,Chengalpattu,157085,152827,1897,2361
3,Chennai,532759,521637,2931,8191
4,Coimbatore,220005,214149,3805,2051
5,Cuddalore,58071,56344,964,763
6,Dharmapuri,24605,23537,860,208
7,Dindigul,31658,30715,351,592
8,Erode,89934,85260,4080,594
9,Kallakurichi,27193,26005,994,194
10,Kancheepuram,70342,68460,704,1178
11,Kanniyakumari,59047,57507,552,988
12,Karur,22077,21300,435,342
13,Krishnagiri,39986,38641,1039,306
14,Madurai,72377,70583,685,1109
15,Mayiladuthurai,20177,19650,275,252
16,Nagapattinam,17820,17291,261,268
17,Namakkal,44810,42736,1656,418
18,Nilgiris,28443,27569,710,164
19,Perambalur,11089,10612,276,201
20,Pudukkottai,27042,26099,621,322
21,Ramanathapuram,19640,19073,233,334
22,Ranipet,40970,39578,669,723
23,Salem,88205,85043,1685,1477
24,Sivaganga,17751,16934,626,191
25,Tenkasi,26422,25691,266,465
26,Thanjavur,63812,61091,1990,731
27,Theni,42367,41450,424,493
28,Thoothukudi,54401,53621,402,378
29,Tiruchirappalli,69473,67362,1197,914
30,Tirunelveli,47244,46456,378,410
31,Tirupathur,27587,26728,285,574
32,Tiruppur,82723,80294,1666,763
33,Tiruvallur,111135,108556,871,1708
34,Tiruvannamalai,49524,47811,1114,599
35,Tiruvarur,36889,35961,596,332
36,Vellore,46961,45381,526,1054
37,Villupuram,42535,41728,477,330
38,Virudhunagar,44604,43525,551,528
38,Airport Surveillance (International),1005,1002,2,1
39,Airport Surveillance (Domestic),1075,1074,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,2484177,2413930,37526,32721
