S.No,District,Total Positive Cases as on 31.01.2021,Discharged Cases as on 31.01.2021,Active Cases as on 31.01.2021,Death Cases as on 31.01.2021
1,Ariyalur,4690,4624,17,49
2,Chengalpattu,51540,50452,320,768
3,Chennai,231286,225630,1554,4102
4,Coimbatore,54384,53289,424,671
5,Cuddalore,24934,24603,46,285
6,Dharmapuri,6582,6503,25,54
7,Dindigul,11253,10972,82,199
8,Erode,14361,14025,186,150
9,Kallakurichi,10872,10759,5,108
10,Kancheepuram,29263,28682,142,439
11,Kanniyakumari,16825,16453,115,257
12,Karur,5396,5316,30,50
13,Krishnagiri,8072,7916,39,117
14,Madurai,21003,20437,109,457
15,Nagapattinam,8447,8253,62,132
16,Namakkal,11637,11422,104,111
17,Nilgiris,8209,8095,67,47
18,Perambalur,2266,2239,6,21
19,Pudukkottai,11561,11369,36,156
20,Ramanathapuram,6412,6264,11,137
21,Ranipet,16122,15891,44,187
22,Salem,32418,31824,128,466
23,Sivaganga,6657,6507,24,126
24,Tenkasi,8420,8224,38,158
25,Thanjavur,17674,17369,58,247
26,Theni,17075,16840,30,205
27,Thoothukudi,16275,16095,39,141
28,Tiruchirappalli,14678,14389,109,180
29,Tirunelveli,15573,15294,66,213
30,Tirupathur,7570,7428,16,126
31,Tiruppur,17893,17477,195,221
32,Tiruvallur,43547,42702,154,691
33,Tiruvannamalai,19357,19043,31,283
34,Tiruvarur,11191,11022,60,109
35,Vellore,20743,20285,110,348
36,Villupuram,15184,15034,38,112
37,Virudhunagar,16564,16307,26,231
38,Airport Surveillance (International),940,937,2,1
39,Airport Surveillance (Domestic),1038,1031,6,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,838340,821430,4554,12356
