S.No,District,Total Positive Cases as on 19.01.2021,Discharged Cases as on 19.01.2021,Active Cases as on 19.01.2021,Death Cases as on 19.01.2021
1,Ariyalur,4665,4608,8,49
2,Chengalpattu,50975,49876,342,757
3,Chennai,229386,223421,1893,4072
4,Coimbatore,53749,52531,554,664
5,Cuddalore,24864,24529,51,284
6,Dharmapuri,6540,6449,37,54
7,Dindigul,11138,10885,55,198
8,Erode,14117,13829,140,148
9,Kallakurichi,10861,10728,25,108
10,Kancheepuram,29089,28527,124,438
11,Kanniyakumari,16678,16306,115,257
12,Karur,5349,5241,58,50
13,Krishnagiri,8014,7836,61,117
14,Madurai,20839,20267,117,455
15,Nagapattinam,8346,8148,67,131
16,Namakkal,11486,11288,88,110
17,Nilgiris,8121,8009,65,47
18,Perambalur,2261,2238,2,21
19,Pudukkottai,11512,11313,43,156
20,Ramanathapuram,6393,6228,28,137
21,Ranipet,16049,15839,24,186
22,Salem,32204,31519,220,465
23,Sivaganga,6618,6454,38,126
24,Tenkasi,8354,8166,30,158
25,Thanjavur,17561,17146,172,243
26,Theni,17022,16770,47,205
27,Thoothukudi,16214,16024,49,141
28,Tiruchirappalli,14527,14239,109,179
29,Tirunelveli,15501,15189,100,212
30,Tirupathur,7541,7383,33,125
31,Tiruppur,17585,17163,202,220
32,Tiruvallur,43286,42383,217,686
33,Tiruvannamalai,19309,18983,43,283
34,Tiruvarur,11090,10928,53,109
35,Vellore,20590,20069,175,346
36,Villupuram,15120,14970,39,111
37,Virudhunagar,16513,16230,52,231
38,Airport Surveillance (International),940,931,8,1
39,Airport Surveillance (Domestic),1031,1027,3,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,831866,814098,5487,12281
