S.No,District,Total Positive Cases as on 16.01.2021,Discharged Cases as on 16.01.2021,Active Cases as on 16.01.2021,Death Cases as on 16.01.2021
1,Ariyalur,4660,4599,12,49
2,Chengalpattu,50825,49708,361,756
3,Chennai,228911,222903,1946,4062
4,Coimbatore,53555,52264,629,662
5,Cuddalore,24846,24501,61,284
6,Dharmapuri,6533,6426,53,54
7,Dindigul,11116,10834,84,198
8,Erode,14072,13769,156,147
9,Kallakurichi,10857,10721,28,108
10,Kancheepuram,29057,28457,163,437
11,Kanniyakumari,16646,16242,147,257
12,Karur,5328,5214,64,50
13,Krishnagiri,8002,7814,71,117
14,Madurai,20803,20218,130,455
15,Nagapattinam,8320,8118,71,131
16,Namakkal,11460,11230,120,110
17,Nilgiris,8103,7979,77,47
18,Perambalur,2260,2238,1,21
19,Pudukkottai,11495,11296,44,155
20,Ramanathapuram,6383,6213,33,137
21,Ranipet,16038,15797,55,186
22,Salem,32136,31406,265,465
23,Sivaganga,6610,6436,48,126
24,Tenkasi,8346,8154,34,158
25,Thanjavur,17505,17091,171,243
26,Theni,17005,16750,50,205
27,Thoothukudi,16201,16003,57,141
28,Tiruchirappalli,14486,14156,151,179
29,Tirunelveli,15465,15157,96,212
30,Tirupathur,7536,7368,43,125
31,Tiruppur,17521,17083,218,220
32,Tiruvallur,43190,42256,252,682
33,Tiruvannamalai,19294,18953,58,283
34,Tiruvarur,11065,10894,62,109
35,Vellore,20548,20021,183,344
36,Villupuram,15109,14950,49,110
37,Virudhunagar,16497,16198,69,230
38,Airport Surveillance (International),940,928,11,1
39,Airport Surveillance (Domestic),1031,1025,5,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,830183,811798,6128,12257
