S.No,District,Total Positive Cases as on 15.05.2021,Discharged Cases as on 15.05.2021,Active Cases as on 15.05.2021,Death Cases as on 15.05.2021
1,Ariyalur,7358,6080,1217,61
2,Chengalpattu,111295,96386,13711,1198
3,Chennai,432344,380274,46367,5703
4,Coimbatore,112358,91328,20173,857
5,Cuddalore,37201,32618,4194,389
6,Dharmapuri,13055,10889,2085,81
7,Dindigul,20511,17845,2409,257
8,Erode,31865,26180,5497,188
9,Kallakurichi,15324,13404,1802,118
10,Kancheepuram,49459,42966,5789,704
11,Kanniyakumari,31756,24874,6443,439
12,Karur,11443,9731,1617,95
13,Krishnagiri,22245,17127,4960,158
14,Madurai,46060,36705,8691,664
15,Nagapattinam,18599,16008,2370,221
16,Namakkal,21586,18650,2779,157
17,Nilgiris,12339,10677,1603,59
18,Perambalur,4405,3098,1271,36
19,Pudukkottai,16901,14783,1947,171
20,Ramanathapuram,11936,9741,2047,148
21,Ranipet,26667,23344,3052,271
22,Salem,51003,46026,4309,668
23,Sivaganga,10995,9433,1420,142
24,Tenkasi,15959,13267,2456,236
25,Thanjavur,33571,28500,4685,386
26,Theni,26474,22414,3798,262
27,Thoothukudi,34420,28916,5319,185
28,Tiruchirappalli,35398,28341,6730,327
29,Tirunelveli,35159,28741,6132,286
30,Tirupathur,14276,11604,2454,218
31,Tiruppur,35671,29759,5639,273
32,Tiruvallur,79022,70292,7730,1000
33,Tiruvannamalai,30243,25730,4169,344
34,Tiruvarur,19347,17276,1923,148
35,Vellore,34794,30587,3734,473
36,Villupuram,25603,22183,3266,154
37,Virudhunagar,25886,21607,3999,280
38,Airport Surveillance (International),1004,1001,2,1
39,Airport Surveillance (Domestic),1075,1074,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,1565035,1339887,207789,17359
