S.No,District,Total Positive Cases as on 25.01.2021,Discharged Cases as on 25.01.2021,Active Cases as on 25.01.2021,Death Cases as on 25.01.2021
1,Ariyalur,4676,4618,9,49
2,Chengalpattu,51295,50141,391,763
3,Chennai,230346,224626,1634,4086
4,Coimbatore,54077,52943,465,669
5,Cuddalore,24892,24572,35,285
6,Dharmapuri,6568,6481,33,54
7,Dindigul,11194,10931,65,198
8,Erode,14246,13940,158,148
9,Kallakurichi,10866,10748,10,108
10,Kancheepuram,29179,28600,140,439
11,Kanniyakumari,16756,16403,96,257
12,Karur,5377,5288,39,50
13,Krishnagiri,8043,7894,32,117
14,Madurai,20935,20354,124,457
15,Nagapattinam,8399,8207,60,132
16,Namakkal,11562,11360,92,110
17,Nilgiris,8162,8064,51,47
18,Perambalur,2261,2239,1,21
19,Pudukkottai,11530,11346,28,156
20,Ramanathapuram,6405,6249,19,137
21,Ranipet,16091,15862,42,187
22,Salem,32308,31711,132,465
23,Sivaganga,6645,6486,33,126
24,Tenkasi,8397,8191,48,158
25,Thanjavur,17624,17290,90,244
26,Theni,17053,16802,46,205
27,Thoothukudi,16254,16070,43,141
28,Tiruchirappalli,14599,14317,103,179
29,Tirunelveli,15528,15254,61,213
30,Tirupathur,7558,7413,20,125
31,Tiruppur,17767,17364,182,221
32,Tiruvallur,43426,42514,223,689
33,Tiruvannamalai,19335,19017,35,283
34,Tiruvarur,11155,10964,82,109
35,Vellore,20663,20214,102,347
36,Villupuram,15164,15003,49,112
37,Virudhunagar,16542,16276,35,231
38,Airport Surveillance (International),940,937,2,1
39,Airport Surveillance (Domestic),1034,1030,3,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,835280,818147,4813,12320
