S.No,District,Total Positive Cases as on 23.07.2021,Discharged Cases as on 23.07.2021,Active Cases as on 23.07.2021,Death Cases as on 23.07.2021
1,Ariyalur,15606,15097,279,230
2,Chengalpattu,161129,157472,1267,2390
3,Chennai,536883,526945,1633,8305
4,Coimbatore,227825,223381,2293,2151
5,Cuddalore,59889,58194,892,803
6,Dharmapuri,25853,25206,415,232
7,Dindigul,32060,31205,238,617
8,Erode,92578,90179,1773,626
9,Kallakurichi,28718,27861,660,197
10,Kancheepuram,71379,69722,456,1201
11,Kanniyakumari,59880,58401,465,1014
12,Karur,22526,21982,193,351
13,Krishnagiri,41096,40374,401,321
14,Madurai,73330,71871,319,1140
15,Mayiladuthurai,20822,20247,308,267
16,Nagapattinam,18452,17763,402,287
17,Namakkal,46754,45636,679,439
18,Nilgiris,30131,29177,780,174
19,Perambalur,11418,11026,175,217
20,Pudukkottai,27895,27164,371,360
21,Ramanathapuram,19955,19457,150,348
22,Ranipet,41781,40705,337,739
23,Salem,92628,89499,1595,1534
24,Sivaganga,18607,18022,390,195
25,Tenkasi,26731,26103,150,478
26,Thanjavur,67091,64760,1493,838
27,Theni,42832,42085,234,513
28,Thoothukudi,54937,54218,330,389
29,Tiruchirappalli,71886,69930,1000,956
30,Tirunelveli,47690,47001,265,424
31,Tirupathur,28063,27153,312,598
32,Tiruppur,87111,84805,1491,815
33,Tiruvallur,112873,110407,722,1744
34,Tiruvannamalai,51612,50171,806,635
35,Tiruvarur,37589,36878,347,364
36,Vellore,47827,46336,399,1092
37,Villupuram,43554,42723,493,338
38,Virudhunagar,45361,44529,294,538
39,Airport Surveillance (International),1013,1005,7,1
40,Airport Surveillance (Domestic),1077,1074,2,1
41,Railway Surveillance,428,428,0,0
Total,Grand Total,2544870,2486192,24816,33862
