S.No,District,Total Positive Cases as on 25.05.2021,Discharged Cases as on 25.05.2021,Active Cases as on 25.05.2021,Death Cases as on 25.05.2021
1,Ariyalur,9790,7546,2166,78
2,Chengalpattu,132492,114283,16630,1579
3,Chennai,487691,433592,47553,6546
4,Coimbatore,146805,111480,34253,1072
5,Cuddalore,44863,36896,7509,458
6,Dharmapuri,16591,13335,3153,103
7,Dindigul,24734,21075,3318,341
8,Erode,46366,33712,12389,265
9,Kallakurichi,18973,15347,3500,126
10,Kancheepuram,59200,51393,6951,856
11,Kanniyakumari,42971,31435,10929,607
12,Karur,14459,11735,2561,163
13,Krishnagiri,29671,21945,7543,183
14,Madurai,58536,43679,14034,823
15,Nagapattinam,24711,19597,4817,297
16,Namakkal,27092,22311,4586,195
17,Nilgiris,16126,13048,3005,73
18,Perambalur,6801,4195,2556,50
19,Pudukkottai,20717,16901,3624,192
20,Ramanathapuram,15057,11743,3121,193
21,Ranipet,31611,26890,4369,352
22,Salem,58850,52224,5795,831
23,Sivaganga,13198,11084,1961,153
24,Tenkasi,20185,15874,4023,288
25,Thanjavur,42151,34995,6677,479
26,Theni,33116,26405,6401,310
27,Thoothukudi,43844,35636,7966,242
28,Tiruchirappalli,49158,38353,10328,477
29,Tirunelveli,40763,34765,5670,328
30,Tirupathur,20163,15126,4728,309
31,Tiruppur,50554,36383,13807,364
32,Tiruvallur,95136,80861,13041,1234
33,Tiruvannamalai,37578,30028,7163,387
34,Tiruvarur,26205,20214,5817,174
35,Vellore,39609,34403,4560,646
36,Villupuram,30394,26348,3831,215
37,Virudhunagar,32828,26164,6315,349
38,Airport Surveillance (International),1004,1001,2,1
39,Airport Surveillance (Domestic),1075,1074,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,1911496,1583504,306652,21340
