S.No,District,Total Positive Cases as on 02.08.2021,Discharged Cases as on 02.08.2021,Active Cases as on 02.08.2021,Death Cases as on 02.08.2021
1,Ariyalur,15817,15362,219,236
2,Chengalpattu,162215,158647,1163,2405
3,Chennai,538521,528465,1735,8321
4,Coimbatore,229804,225618,2008,2178
5,Cuddalore,60573,59031,731,811
6,Dharmapuri,26165,25575,355,235
7,Dindigul,32222,31407,192,623
8,Erode,94042,91841,1568,633
9,Kallakurichi,29160,28481,481,198
10,Kancheepuram,71797,70154,439,1204
11,Kanniyakumari,60158,58788,350,1020
12,Karur,22669,22169,149,351
13,Krishnagiri,41424,40787,315,322
14,Madurai,73540,72130,265,1145
15,Mayiladuthurai,21088,20531,288,269
16,Nagapattinam,18729,18043,397,289
17,Namakkal,47315,46283,581,451
18,Nilgiris,30617,29905,532,180
19,Perambalur,11497,11166,108,223
20,Pudukkottai,28180,27494,319,367
21,Ramanathapuram,20052,19570,132,350
22,Ranipet,41998,41010,246,742
23,Salem,93562,90939,1061,1562
24,Sivaganga,18836,18353,286,197
25,Tenkasi,26868,26242,146,480
26,Thanjavur,68102,66190,1064,848
27,Theni,42952,42285,153,514
28,Thoothukudi,55118,54494,228,396
29,Tiruchirappalli,72567,70899,700,968
30,Tirunelveli,47935,47188,319,428
31,Tirupathur,28289,27437,251,601
32,Tiruppur,87985,86211,933,841
33,Tiruvallur,113622,111092,774,1756
34,Tiruvannamalai,52140,50899,603,638
35,Tiruvarur,37921,37172,379,370
36,Vellore,48111,46685,331,1095
37,Villupuram,43907,43183,383,341
38,Virudhunagar,45525,44790,195,540
39,Airport Surveillance (International),1015,1010,4,1
40,Airport Surveillance (Domestic),1078,1075,2,1
41,Railway Surveillance,428,428,0,0
Total,Grand Total,2563544,2509029,20385,34130
