S.No,District,Total Positive Cases as on 29.01.2021,Discharged Cases as on 29.01.2021,Active Cases as on 29.01.2021,Death Cases as on 29.01.2021
1,Ariyalur,4685,4621,15,49
2,Chengalpattu,51457,50334,357,766
3,Chennai,230982,225325,1560,4097
4,Coimbatore,54282,53182,429,671
5,Cuddalore,24920,24598,37,285
6,Dharmapuri,6579,6496,29,54
7,Dindigul,11233,10957,78,198
8,Erode,14325,13982,193,150
9,Kallakurichi,10869,10756,5,108
10,Kancheepuram,29235,28656,140,439
11,Kanniyakumari,16801,16434,110,257
12,Karur,5391,5307,34,50
13,Krishnagiri,8064,7910,37,117
14,Madurai,20975,20405,113,457
15,Nagapattinam,8437,8234,71,132
16,Namakkal,11601,11400,91,110
17,Nilgiris,8199,8087,65,47
18,Perambalur,2264,2239,4,21
19,Pudukkottai,11548,11365,27,156
20,Ramanathapuram,6411,6260,14,137
21,Ranipet,16110,15877,46,187
22,Salem,32384,31786,132,466
23,Sivaganga,6653,6504,23,126
24,Tenkasi,8414,8210,46,158
25,Thanjavur,17649,17346,57,246
26,Theni,17068,16827,36,205
27,Thoothukudi,16272,16086,45,141
28,Tiruchirappalli,14655,14368,107,180
29,Tirunelveli,15561,15285,63,213
30,Tirupathur,7566,7422,19,125
31,Tiruppur,17850,17452,177,221
32,Tiruvallur,43514,42646,177,691
33,Tiruvannamalai,19348,19038,27,283
34,Tiruvarur,11179,11008,62,109
35,Vellore,20712,20260,104,348
36,Villupuram,15176,15023,41,112
37,Virudhunagar,16552,16299,22,231
38,Airport Surveillance (International),940,937,2,1
39,Airport Surveillance (Domestic),1038,1031,6,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,837327,820381,4601,12345
