S.No,District,Total Positive Cases as on 20.07.2021,Discharged Cases as on 20.07.2021,Active Cases as on 20.07.2021,Death Cases as on 20.07.2021
1,Ariyalur,15552,15018,304,230
2,Chengalpattu,160762,157099,1275,2388
3,Chennai,536493,526504,1687,8302
4,Coimbatore,227283,222495,2648,2140
5,Cuddalore,59676,57943,931,802
6,Dharmapuri,25742,25017,495,230
7,Dindigul,31997,31167,213,617
8,Erode,92189,89550,2016,623
9,Kallakurichi,28591,27684,710,197
10,Kancheepuram,71247,69598,449,1200
11,Kanniyakumari,59769,58279,477,1013
12,Karur,22496,21918,228,350
13,Krishnagiri,41024,40234,472,318
14,Madurai,73252,71754,358,1140
15,Mayiladuthurai,20733,20169,298,266
16,Nagapattinam,18387,17681,420,286
17,Namakkal,46587,45354,796,437
18,Nilgiris,29961,28924,864,173
19,Perambalur,11398,10994,189,215
20,Pudukkottai,27825,27068,402,355
21,Ramanathapuram,19920,19424,151,345
22,Ranipet,41705,40605,362,738
23,Salem,92277,89056,1691,1530
24,Sivaganga,18543,17960,389,194
25,Tenkasi,26697,26065,155,477
26,Thanjavur,66814,64348,1632,834
27,Theni,42795,42023,261,511
28,Thoothukudi,54885,54164,335,386
29,Tiruchirappalli,71676,69615,1110,951
30,Tirunelveli,47589,46963,202,424
31,Tirupathur,27991,27096,300,595
32,Tiruppur,86818,84407,1596,815
33,Tiruvallur,112686,110180,765,1741
34,Tiruvannamalai,51428,49896,900,632
35,Tiruvarur,37508,36793,352,363
36,Vellore,47716,46190,438,1088
37,Villupuram,43442,42612,493,337
38,Virudhunagar,45312,44427,348,537
39,Airport Surveillance (International),1008,1002,5,1
40,Airport Surveillance (Domestic),1075,1074,0,1
41,Railway Surveillance,428,428,0,0
Total,Grand Total,2539277,2478778,26717,33782
