S.No,District,Total Positive Cases as on 01.06.2021,Discharged Cases as on 01.06.2021,Active Cases as on 01.06.2021,Death Cases as on 01.06.2021
1,Ariyalur,11525,8876,2529,120
2,Chengalpattu,141707,129928,9891,1888
3,Chennai,506937,467723,32069,7145
4,Coimbatore,173842,131965,40570,1307
5,Cuddalore,49281,42633,6114,534
6,Dharmapuri,18956,15770,3056,130
7,Dindigul,27283,23530,3336,417
8,Erode,58278,41829,16093,356
9,Kallakurichi,21540,16829,4572,139
10,Kancheepuram,63865,57315,5567,983
11,Kanniyakumari,49664,39372,9548,744
12,Karur,17598,13945,3431,222
13,Krishnagiri,33167,28361,4603,203
14,Madurai,65512,49395,15197,920
15,Nagapattinam,29758,23868,5547,343
16,Namakkal,33210,25663,7285,262
17,Nilgiris,19661,15613,3954,94
18,Perambalur,8665,5880,2723,62
19,Pudukkottai,23164,19274,3682,208
20,Ramanathapuram,17029,13541,3255,233
21,Ranipet,34935,31045,3400,490
22,Salem,66764,57104,8672,988
23,Sivaganga,14626,12455,2010,161
24,Tenkasi,22768,18744,3682,342
25,Thanjavur,48202,40785,6896,521
26,Theni,36908,30967,5579,362
27,Thoothukudi,48345,40001,8060,284
28,Tiruchirappalli,58208,46593,11013,602
29,Tirunelveli,43656,38870,4436,350
30,Tirupathur,23178,19002,3808,368
31,Tiruppur,62296,43219,18594,483
32,Tiruvallur,102066,92973,7683,1410
33,Tiruvannamalai,41761,33951,7386,424
34,Tiruvarur,30326,24481,5646,199
35,Vellore,42577,38827,2999,751
36,Villupuram,35042,29672,5117,253
37,Virudhunagar,38222,29674,8126,422
38,Airport Surveillance (International),1004,1001,2,1
39,Airport Surveillance (Domestic),1075,1074,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,2123029,1802176,296131,24722
