S.No,District,Total Positive Cases as on 07.06.2021,Discharged Cases as on 07.06.2021,Active Cases as on 07.06.2021,Death Cases as on 07.06.2021
1,Ariyalur,12892,10698,2050,144
2,Chengalpattu,147209,138736,6370,2103
3,Chennai,518162,491462,19184,7516
4,Coimbatore,190593,159793,29268,1532
5,Cuddalore,52558,47017,4948,593
6,Dharmapuri,20921,17926,2847,148
7,Dindigul,29108,26259,2394,455
8,Erode,67905,52739,14712,454
9,Kallakurichi,23285,18893,4241,151
10,Kancheepuram,66304,62459,2785,1060
11,Kanniyakumari,53667,45798,7034,835
12,Karur,19589,16476,2834,279
13,Krishnagiri,35462,31915,3314,233
14,Madurai,68324,56677,10666,981
15,Nagapattinam,33105,27980,4720,405
16,Namakkal,37444,30342,6780,322
17,Nilgiris,22872,18455,4298,119
18,Perambalur,9764,7926,1725,113
19,Pudukkottai,24619,21965,2406,248
20,Ramanathapuram,18081,15098,2701,282
21,Ranipet,36962,33970,2432,560
22,Salem,73769,61970,10669,1130
23,Sivaganga,15569,13729,1665,175
24,Tenkasi,24348,20693,3268,387
25,Thanjavur,53803,46271,6962,570
26,Theni,39332,34964,3972,396
27,Thoothukudi,50502,44222,5969,311
28,Tiruchirappalli,62347,52335,9326,686
29,Tirunelveli,45287,41257,3662,368
30,Tirupathur,25082,21659,3025,398
31,Tiruppur,69211,49795,18849,567
32,Tiruvallur,105342,99619,4205,1518
33,Tiruvannamalai,44331,37094,6760,477
34,Tiruvarur,33355,28537,4577,241
35,Vellore,44154,41279,2030,845
36,Villupuram,38035,33006,4742,287
37,Virudhunagar,40881,35782,4634,465
38,Airport Surveillance (International),1004,1001,2,1
39,Airport Surveillance (Domestic),1075,1074,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,2256681,1997299,232026,27356
